,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
0,서커스컴퍼니,2012년 11월 20일,17억 563만원 (2022),20 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 강남구 학동로82길 7 (삼성동,HYUN빌딩) 2층지도보기",//www.circusar.com/
1,블로코,2014년 11월 7일,"11억 8,214만원 (2022)",29 명 재직중,소프트웨어·솔루션·ASP,중소기업,"경기 성남시 분당구 성남대로331번길 8 902호 (정자동,킨스타워)지도보기",//www.blocko.io
2,만나플래닛,2016년 4월 20일,"141억 9,493만원 (2022)",134 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 구로구 경인로 661 104동 905호 (신도림동,신도림1차푸르지오)지도보기",//www.manna-planet.com
3,미트박스글로벌,2014년 5월 19일,"552억 1,702만원 (2022)",69 명 재직중,쇼핑몰·전자상거래·오픈마켓,중소기업,경기 성남시 분당구 삼평동 판교우림더블유시티 703호 .지도보기,//www.meatbox.co.kr
4,이큐브랩,2011년 7월 4일,"18억 7,161만원 (2022)",62 명 재직중,기계·조선·자동차·운송장비,중소기업,"서울특별시 구로구 디지털로34길 55 (구로동,코오롱싸이언스밸리2차) 1503호지도보기",//ecubelabs.com
5,마크비전코리아,2019년 12월 12일,-,100 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 강남구 테헤란로 427 6층 (삼성동,위워크타워)지도보기",//www.marqvision.com
6,위시빈,2018년 2월 23일,749만원 (2022),20 명 재직중,인터넷·포털·컨텐츠·게임,중소기업,"서울특별시 중구 남대문로7길 16 (소공동,소공 한국빌딩) 5층지도보기",//www.wishbeen.co.kr/
7,비에이치에스엔,2010년 6월 1일,"22억 7,876만원 (2022)",13 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 종로구 창경궁로 112-15 201호 (인의동,세일빌딩)지도보기",//www.bhskorea.com
8,퀀텀유니버스,2020년 8월 4일,"7억 5,094만원 (2022)",19 명 재직중,소프트웨어·솔루션·ASP,중소기업,,
9,라포랩스,2020년 5월 19일,"184억 8,182만원 (2022)",149 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 강남구 테헤란로98길 8 6층 (대치동,케이티앤지대치타워)지도보기",//www.rapportlabs.kr
10,커리어데이,2021년 7월 12일,"8,338만원 (2022)",6 명 재직중,사무지원·콜센터·텔레마케팅,중소기업,,
11,마켓디자이너스,2017년 2월 9일,"89억 6,636만원 (2022)",80 명 재직중,시장조사·여론조사·경영컨설팅,중소기업,"서울특별시 강남구 테헤란로20길 9 (역삼동,동궁빌딩) 13층지도보기",//www.marketdesigners.com
12,하이,2005년 2월 4일,"5,598억 1,354만원 (2022)",743 명 재직중,문화·스포츠·엔터테인먼트,중견기업,서울특별시 용산구 한강대로 42 (한강로3가)지도보기,//hybecorp.com/www.hybe.co
13,씨드로닉스,2015년 12월 1일,-,-,기계·조선·자동차·운송장비,중소기업,서울특별시 강남구 테헤란로20길 20 삼정빌딩 3층 씨드로닉스 (역삼동)지도보기,//www.seadronix.com
14,에스티씨랩,2020년 6월 1일,"110억 2,295만원 (2022)",70 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 강남구 봉은사로37길 5 2층 (논현동,캠프지)지도보기",//www.stclab.com
15,한국모바일결제,2020년 11월 30일,-,-,소프트웨어·솔루션·ASP,소기업,"서울특별시 강남구 테헤란로2길 27 14층(역삼동,패스트파이브빌딩)지도보기",//www.baroapp.co.kr
16,엠포스,2000년 11월 17일,"200억 5,269만원 (2022)",237 명 재직중,방송·광고·영상·오디오,중소기업,"강남구 논현1동 204-5번지 MJL빌딩 7층 4층 (방배동,한샘방배빌딩)지도보기",//www.emforce.co.kr
17,크리스틴컴퍼니,2019년 8월 9일,"7억 2,108만원 (2022)",5 명 재직중,가죽·가방·신발,중소기업,"경상남도 김해시 주촌면 골든루트로 80-16 1층 1호 (농소리,김해창업혁신센터)지도보기",//www.kristinkorea.com
18,브랜디,2017년 7월 18일,"3억 5,981만원 (2022)",20 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 마포구 마포대로 122 17F층 자버 (공덕동,프론트원)지도보기",//www.jober.io
19,헤세그,2020년 3월 26일,2억 100만원 (2022),8 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 서초구 매헌로6길 15 4층 (양재동,두루빌딩)지도보기",//www.hessegg.com
