,기업명,업종분류,사원수,설립연도,매출액
0,서커스컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,2013,222380
1,블로코,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2015,221128
2,만나플래닛,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2016,1238113
3,미트박스글로벌,식료품 소매업,82명,2014,3174225
4,로지스팟,그 외 기타 운송관련 서비스업,169명,2007,2800836
5,이큐브랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,48명,2011,163146
6,위시빈,그 외 기타 정보 서비스업,8명,2018,1545
7,퀀텀유니버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,2020,19434
8,마켓디자이너스,경영 컨설팅 및 공공 관계 서비스업,,2017,1053971
9,에너닷,기타 금융 지원 서비스업,,2018,103456
10,파이온코퍼레이션,광고 대행업,48명,2019,56910
11,크래프트테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,72명,2016,230770
12,씨드로닉스,공학 연구개발업,29명,2016,70294
13,와이즈버즈,광고 대행업,119명,2017,1226207
14,에스티씨랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,62명,2020,776748
15,누비랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,64명,2019,190957
16,엠포스,방사선 장치 및 전기식 진단 기기 제조업,15명,2019,301927
17,크리스틴컴퍼니,신발 제조업,37명,2020,65024
18,브랜디,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2014,12619314
19,발란,통신 판매업,64명,2015,5217961
20,케이스마텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,86명,2010,1160986
21,어니컴,시스템ㆍ응용 소프트웨어 개발 및 공급업,415명,1998,2296540
22,크로스이엔에프,시스템ㆍ응용 소프트웨어 개발 및 공급업,42명,2018,177256
23,엔비티,"세제, 화장품 및 광택제 제조업",6명,2016,145461
24,누리랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,27명,2015,179375
25,엑스브레인,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2015,34636
26,법틀,시스템ㆍ응용 소프트웨어 개발 및 공급업,22명,2017,84049
27,마이크로프로텍트,"컴퓨터 시스템 통합 자문, 구축 및 관리업",56명,2019,9272
28,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,2020,9797
29,더블유클럽,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2021,105181
30,모라이,공학 연구개발업,132명,2018,204483
31,소셜인프라테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,2019,189378
32,벨루가브루어리,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,2018,42659
33,아이엠지베이스,게임 소프트웨어 개발 및 공급업,13명,2017,160000
34,에임,,,2019,265552
35,에임,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2016,265552
36,라플라스테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2020,600
37,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,2020,378791
38,하이퍼커넥트,시스템ㆍ응용 소프트웨어 개발 및 공급업,336명,2014,18195486
39,파인더스에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2020,179
40,에쓰오씨소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,,1995,821571
41,구름,시스템ㆍ응용 소프트웨어 개발 및 공급업,123명,2013,303402
42,디케이테크인,시스템ㆍ응용 소프트웨어 개발 및 공급업,655명,2015,2778646
43,휴런,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2019,1942
44,지엔,통신 공사업,4명,2016,53930
45,휴맥스모빌리티,컴퓨터 프로그래밍 서비스업,112명,2016,111412
46,럭스소프트코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2019,207827
47,라이프페스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,2020,30010
48,알지티,산업용 로봇 제조업,,2018,37367
49,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",2007,182837378
50,우리엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,55명,2012,875251
51,에이에프아이,포털 및 기타 인터넷 정보 매개 서비스업,23명,2017,37352
52,블루닷,통신 판매업,,2020,29767
53,무신사,사무 지원 서비스업,"1,561명",2012,40244065
54,바텍,기타 특수 목적용 기계 제조업,10명,2011,126263
55,디어유,시스템ㆍ응용 소프트웨어 개발 및 공급업,정보없음,2017,4000076
56,딥바이오,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,2016,25570
57,쿠캣,시스템ㆍ응용 소프트웨어 개발 및 공급업,109명,2014,4345290
58,일루니,시스템ㆍ응용 소프트웨어 개발 및 공급업,16명,2018,21049
59,리콘랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,41명,2019,5140
60,코비그룹,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,2018,160044
61,백금티앤에이,기타 기계 및 장비 도매업,59명,1996,6353795
62,가온브로드밴드,유선 통신장비 제조업,137명,2020,21453070
63,휴먼아이씨티,시스템ㆍ응용 소프트웨어 개발 및 공급업,15명,2012,738334
64,아이투맥스,시스템ㆍ응용 소프트웨어 개발 및 공급업,198명,2004,1964567
65,룩코,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2020,2700
66,펄송,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2017,170705
67,포스타입,시스템ㆍ응용 소프트웨어 개발 및 공급업,28명,2016,252614
68,버즈빌,광고 대행업,112명,2013,5967272
69,카카오스타일,시스템ㆍ응용 소프트웨어 개발 및 공급업,570명,2012,6522341
70,월급쟁이부자들,그 외 기타 교육기관,51명,2018,2399000
71,플레져,광고 대행업,10명,2018,116356
72,얼리페이,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,2021,133
73,지엔에이컴퍼니,통신 판매업,9명,2017,109116
74,스쿨버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,38명,2018,71240
75,시지온,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2011,160729
76,탈잉,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,2016,750534
77,핏펫,시스템ㆍ응용 소프트웨어 개발 및 공급업,106명,2017,2234887
78,옴니어스,포털 및 기타 인터넷 정보 매개 서비스업,25명,2015,186382
79,컬리,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,"2,633명",2014,155795521
80,스마일샤크,"컴퓨터 시스템 통합 자문, 구축 및 관리업",36명,2020,235386
81,인스피언,시스템ㆍ응용 소프트웨어 개발 및 공급업,97명,2010,1330416
82,누트컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,2018,9137
83,엠지알브이,부동산 관리업,81명,2018,321425
84,핌아시아,통신 판매업,55명,2014,3091706
85,배움,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,2000,698554
86,스페클립스,자연과학 연구개발업,34명,2015,2720
87,이노소니언,그 외 기타 분류 안된 제품 제조업,17명,2013,338144
88,라텔앤드파트너즈,광고 대행업,26명,2020,332945
89,엠몬스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,23명,2017,184054
90,큐리어슬리,포털 및 기타 인터넷 정보 매개 서비스업,48명,2012,517108
91,이노그리드,시스템ㆍ응용 소프트웨어 개발 및 공급업,177명,2006,1618940
92,아이헤이트플라잉버그스,일반 교습학원,473명,2012,319935
93,에이치비엠피,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2014,16212
94,멘티스코,시스템ㆍ응용 소프트웨어 개발 및 공급업,61명,2018,330774
95,퀀팃,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2019,84519
96,이엔티팩토리,기타 창작 및 예술관련 서비스업,7명,2008,396868
97,재담미디어,서적 출판업,69명,2013,1562695
98,메디플러스솔루션,경영 컨설팅 및 공공 관계 서비스업,45명,2013,19119
99,인디제이,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2019,43833
100,어크로스비,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,2020,496685
101,라이언로켓,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2019,67157
102,어라운더블,통신 판매업,7명,2020,1404
103,유니메오,시스템ㆍ응용 소프트웨어 개발 및 공급업,34명,2017,41537
104,큐이디,운동용품 및 자전거 소매업,75명,2019,1714649
105,엘케이알,합성고무 및 플라스틱 물질 제조업,15명,2015,133136
106,이폼웍스,합성고무 및 플라스틱 물질 제조업,22명,2014,310903
107,에스티엘,"음반 및 비디오물, 악기, 오락 및 경기용품 도매업",5명,2007,252511
108,웨이커,그 외 기타 정보 서비스업,27명,2020,35454
109,패스트뷰,광고 대행업,100명,2018,1000000
110,플라잉캣,통신 판매업,3명,2018,5361
111,하고엘앤에프,경영 컨설팅 및 공공 관계 서비스업,,2017,330698
112,줌인터넷,시스템ㆍ응용 소프트웨어 개발 및 공급업,76명,2016,2363381
113,지니언스,시스템ㆍ응용 소프트웨어 개발 및 공급업,186명,2005,3146491
114,유와이즈원,"컴퓨터 시스템 통합 자문, 구축 및 관리업",12명,2011,322250
115,셰어라운드,그 외 기타 정보 서비스업,3명,2019,14704
116,앤트,자동차 신품 부품 및 내장품 판매업,3명,2015,213342
117,운칠기삼,그 외 기타 정보 서비스업,52명,2017,504974
118,업템포글로벌,경영 컨설팅 및 공공 관계 서비스업,43명,2020,226898
119,에이엘에이엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,6명,2017,24684
120,사이다경제,그 외 기타 정보 서비스업,22명,2017,115993
121,뷰컴즈,서적 출판업,32명,2018,590638
122,씨알에스큐브,시스템ㆍ응용 소프트웨어 개발 및 공급업,93명,2011,1370006
123,하이퍼클라우드,시스템ㆍ응용 소프트웨어 개발 및 공급업,32명,2016,51070
124,잉카엔트웍스,그 외 기타 정보 서비스업,47명,2000,364056
125,한국글로벌널리지네트웍,시스템ㆍ응용 소프트웨어 개발 및 공급업,29명,1998,481902
126,트래포트,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,2008,187209
127,호두랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,38명,2019,512113
128,필드서비스,소화물 전문 운송업,28명,2021,5027
129,스페이스워크,시스템ㆍ응용 소프트웨어 개발 및 공급업,18명,2016,47556
130,위시켓,그 외 기타 정보 서비스업,,2012,392933
131,드리븐,"기술 시험, 검사 및 분석업",,2013,1819815
132,에이치투오호스피탈리티,건물 및 산업설비 청소업,13명,2015,36994
133,레인포컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,49명,2020,6352
134,벤디스식권대장,광고 대행업,42명,2014,695677
135,누벤트,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,15명,2014,12310
136,스페이스애드,기타 광고업,72명,2018,1127240
137,세컨신드롬,보관 및 창고업,26명,2018,306989
138,마야크루,광고 대행업,13명,2017,13116
139,스카이랩스,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",50명,2015,12450
140,슈퍼진,시스템ㆍ응용 소프트웨어 개발 및 공급업,45명,2017,1763779
141,푸드테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,157명,2001,2062375
142,여기어때컴퍼니,그 외 기타 정보 서비스업,572명,2015,20491284
143,머스트잇,상품 중개업,118명,2012,1994949
144,셀바스에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,173명,1999,1950707
145,세포아소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,38명,2007,410973
146,놀이의발견,통신 판매업,52명,2020,62313
147,클라우드앤,가정용 전기 기기 제조업,15명,2016,45352
148,더블다운인터액티브,그 외 기타 정보 서비스업,129명,2008,2571696
149,링글잉글리시에듀케이션서비스,일반 교습학원,51명,2015,1057336
150,렌딧,기타 금융 지원 서비스업,53명,2015,36451
151,차지비,기타 기계 및 장비 도매업,,2019,1800041
152,슬로그업,시스템ㆍ응용 소프트웨어 개발 및 공급업,59명,2016,499825
153,데일리샷,통신 판매업,37명,2018,43256
154,로보코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,33명,2017,60882
155,마이플레이컴퍼니,포털 및 기타 인터넷 정보 매개 서비스업,40명,2016,397610
156,마더브레인,광고 대행업,104명,2009,1117716
157,제주도닷컴,여행사업,10명,2003,188776
158,튠잇,자동차용 신품 동력 전달장치 및 전기장치 제조업,19명,2019,100106
159,블렌딩,오디오물 출판 및 원판 녹음업,,2019,36995
160,핏투게더,그 외 기타 정보 서비스업,39명,2017,112784
161,컨트롤웍스,상품 종합 도매업,76명,1999,599447
162,아이디에스앤트러스트,"컴퓨터 시스템 통합 자문, 구축 및 관리업",89명,1998,1501010
163,스탬퍼,시스템ㆍ응용 소프트웨어 개발 및 공급업,27명,2018,453274
164,지냄,포털 및 기타 인터넷 정보 매개 서비스업,56명,2015,115772
165,크리에이트립,통신 판매업,61명,2016,250744
166,소프트스피어,광고 대행업,21명,2021,69315
167,해치랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,40명,2018,380806
168,콜게이트,시스템ㆍ응용 소프트웨어 개발 및 공급업,52명,2006,601569
169,풀스택,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2018,67186
170,빅픽처인터렉티브,스포츠 및 레크리에이션 교육기관,5명,2019,412009
171,빅픽처인터렉티브,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,82명,2015,412009
172,지로,시스템ㆍ응용 소프트웨어 개발 및 공급업,19명,2020,11460
173,액스,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,2018,1768
174,페이워크,그 외 기타 정보 서비스업,4명,2020,21309
175,아나토마지코리아,기타 기계 및 장비 도매업,45명,2008,265672
176,플랫포스,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2016,280691
177,스마일랩,상품 종합 도매업,22명,2013,350624
178,밴플,그 외 기타 정보 서비스업,6명,2020,2429
179,얼라이언스인터넷,광고 대행업,15명,2011,433536
180,트레바리,기타 창작 및 예술관련 서비스업,30명,2019,129856
181,에이피알,"떡, 빵 및 과자류 제조업",20명,2018,89289
182,뉴아인,공학 연구개발업,33명,2018,10799
183,플레이위드,인쇄업,16명,2018,106999
184,소프트웨어인라이프,게임 소프트웨어 개발 및 공급업,5명,2011,160875
185,메디허브,기타 기계 및 장비 도매업,16명,2018,85080
186,솔로몬텍,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,542명,2012,4897629
187,디웨이브,광고 대행업,42명,2015,438100
188,마카롱팩토리,포털 및 기타 인터넷 정보 매개 서비스업,38명,2015,387301
189,스파이더랩,게임 소프트웨어 개발 및 공급업,,2019,27993
190,프리윌린,시스템ㆍ응용 소프트웨어 개발 및 공급업,112명,2017,626386
191,넥슨코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,"3,673명",2005,193347529
192,이터널,,4명,2013,37019
193,크라우드웍스,시스템ㆍ응용 소프트웨어 개발 및 공급업,162명,2017,849281
194,한국선불카드,그 외 기타 사업 지원 서비스업,47명,2011,1199724
195,소만사,시스템ㆍ응용 소프트웨어 개발 및 공급업,348명,1998,4434958
196,에이지엘,그 외 기타 운송관련 서비스업,54명,2003,2857854
197,플라잎,시스템ㆍ응용 소프트웨어 개발 및 공급업,19명,2020,9043
198,인덴트코퍼레이션,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,2019,4190
199,에드워드코리아,"펌프 및 압축기 제조업; 탭, 밸브 및 유사 장치 제조 포함","1,590명",1995,67483935
200,투블럭에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,2019,78831
201,엘리스,여행사업,7명,2012,16890
202,에코마케팅,경영 컨설팅 및 공공 관계 서비스업,정보없음,2003,4749440
203,로완,시스템ㆍ응용 소프트웨어 개발 및 공급업,49명,2017,23741
204,베이글코드,시스템ㆍ응용 소프트웨어 개발 및 공급업,163명,2013,8095973
205,엘박스,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,49명,2019,2154
206,슈페릭스,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,2017,310000
207,태그하이브,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,10명,2017,2284
208,아데나소프트웨어,시스템ㆍ응용 소프트웨어 개발 및 공급업,121명,2016,2393640
209,헥슬란트,시스템ㆍ응용 소프트웨어 개발 및 공급업,25명,2018,277975
210,원더무브,시스템ㆍ응용 소프트웨어 개발 및 공급업,23명,2020,39072
211,케이티넥스알,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2007,1199794
212,인프랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,2017,1285334
213,팀윙크,통신 판매업,,2018,79612
214,페칭,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2020,7194
215,마인드허브,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2019,15371
216,스테이지랩스,그 외 기타 정보 서비스업,32명,2016,87595
217,비디오몬스터,광고 대행업,,2015,92512
218,갤럭시아머니트리,시스템ㆍ응용 소프트웨어 개발 및 공급업,136명,1994,9415906
219,제노솔루션,게임 소프트웨어 개발 및 공급업,38명,2010,1028620
220,소프트닉스,시스템ㆍ응용 소프트웨어 개발 및 공급업,50명,2001,288908
221,소프트베리,게임 소프트웨어 개발 및 공급업,37명,2017,215832
222,에바,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",4명,2010,36998
223,판옵티콘,기타 전자 부품 제조업,,2021,4864
224,리브애니웨어,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,2020,232404
225,뱅크샐러드,시스템ㆍ응용 소프트웨어 개발 및 공급업,116명,2012,342596
226,번개장터,게임 소프트웨어 개발 및 공급업,189명,2011,2495727
227,피알앤디컴퍼니헤이딜러,시스템ㆍ응용 소프트웨어 개발 및 공급업,96명,2015,3897258
228,카비,기타 전자 부품 제조업,22명,2010,5932
229,고피자,외국식 음식점업,122명,2017,1075669
230,플래티어,시스템ㆍ응용 소프트웨어 개발 및 공급업,282명,2005,4189336
231,트리노드,게임 소프트웨어 개발 및 공급업,247명,2019,5238666
232,씨엔알리서치,그 외 기타 사업 지원 서비스업,493명,2020,4309929
233,뮤직카우,시스템ㆍ응용 소프트웨어 개발 및 공급업,108명,2017,1335267
234,밀리의서재,그 외 기타 정보 서비스업,156명,2016,2885698
235,원티드랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,183명,2015,3169921
236,아이오바이오,자연과학 연구개발업,37명,2011,103744
237,경우시스테크,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",77명,1999,2262118
238,아이알큐더스,경영 컨설팅 및 공공 관계 서비스업,74명,2000,439138
239,래딕스글로비즈,상품 종합 도매업,23명,2003,2850845
240,유니드컴즈,시스템ㆍ응용 소프트웨어 개발 및 공급업,46명,2015,353097
241,현대캐피탈,신탁업 및 집합 투자업,"2,124명",1993,302622574
242,미스터블루,게임 소프트웨어 개발 및 공급업,137명,2014,2857165
243,트립비토즈,여행사업,70명,2016,255476
244,포커스미디어코리아,기타 광고업,215명,2017,5776386
245,컴투스플랫폼,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,191명,2016,2028737
