,기업명,주소,업종분류,설립연도,기업홈페이지URL
0,이큐브랩,서울특별시 구로구,그 외 기타 특수 목적용 기계 제조업,2011,www.ecubelabs.com
0,마크비전코리아,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2019,
0,미트박스글로벌,서울특별시 강남구,전자상거래 소매 중개업,2014,https://www.meatbox.co.kr/
0,마켓디자이너스,서울특별시 강남구,교육 서비스업,2017,
0,크래프트테크놀로지스,서울특별시 성동구,전기ㆍ전자공학 연구개발업,2016,www.qraft.co.kr
0,에스티씨랩,서울특별시 강남구,시스템 소프트웨어 개발 및 공급업,2020,www.stclab.com/
0,브랜디,서울특별시 강남구,남녀용 겉옷 및 셔츠 도매업,2014,www.brandi.co.kr
0,케이스마텍,서울특별시 금천구,시스템 소프트웨어 개발 및 공급업,2010,www.ksmartech.com
0,발란,서울특별시 금천구,시스템 소프트웨어 개발 및 공급업,2010,www.ksmartech.com
0,어니컴,경기도 수원시 영통구,응용 소프트웨어 개발 및 공급업,1998,www.onycom.com
0,누리랩,서울특별시 용산구,응용 소프트웨어 개발 및 공급업,2012,nbt.com/
0,엔비티,서울특별시 서초구,광고 대행업,2012,nbt.com/
0,마켓디자이너스,서울특별시 서초구,광고 대행업,2012,nbt.com/
0,하이퍼커넥트,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2014,www.hpcnt.com
0,휴런,인천광역시 남동구,그 외 기타 의료용 기기 제조업,2017,www.iheuron.com
0,휴맥스모빌리티,경기도 성남시 분당구,자동차 임대업,2016,https://kr.humaxdigital.com/humax-mobility
0,디케이테크인,경기도 성남시 분당구,소프트웨어 개발 및 공급업,2015,www.dktechin.com
0,크래프톤,서울특별시 강남구,게임 소프트웨어 개발 및 공급업,2007,www.krafton.com
0,무신사,서울특별시 성동구,통신 판매업,2012,
0,바텍,경상북도 구미시,기타 전자 부품 제조업,1992,www.khvatec.com
0,마크비전코리아,전라남도 목포시,응용 소프트웨어 개발 및 공급업,2019,
0,딥바이오,서울특별시 구로구,응용 소프트웨어 개발 및 공급업,2015,www.deepbio.co.kr
0,다보링크,경기도 안양시 동안구,통신 및 방송장비 제조업,2019,www.davolink.co.kr
0,백금티앤에이,경기도 군포시,방송 및 무선 통신장비 제조업,1996,www.bgtna.com
0,가온브로드밴드,경기도 성남시 분당구,그 외 기타 전자 부품 제조업,2020,
0,아이투맥스,서울특별시 마포구,시스템 소프트웨어 개발 및 공급업,2003,www.i2max.co.kr
0,레벨스,서울특별시 도봉구,기타 인쇄물 출판업,2021,
0,버즈빌,서울특별시 송파구,광고 매체 판매업,2012,www.buzzvil.com
0,카카오스타일,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2012,https://kakaostyle.com/
0,월급쟁이부자들,서울특별시 서초구,그 외 기타 분류 안된 교육기관,2018,www.weolbu.com/
0,디어유,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2017,www.dear-u.co
0,옴니어스,서울특별시 강남구,응용 소프트웨어 개발 및 공급업,2015,omnicommerce.ai/ko-kr/
0,컬리,서울특별시 관악구,호텔업,2005,
0,엠지알브이,서울특별시 성동구,주거용 부동산 관리업,2018,www.mgrv.company
0,스페클립스,경기도 성남시 분당구,의학 및 약학 연구개발업,2015,www.speclipse.com
0,유에이치씨,서울특별시 중구,기타 일반 및 생활 숙박시설 운영업,2017,uhsuite.co.kr
0,아이헤이트플라잉버그스,서울특별시 영등포구,온라인 교육학원,2012,
0,하이,서울특별시 영등포구,온라인 교육학원,2012,
0,엠포스,서울특별시 서초구,광고 대행업,2000,www.emforce.co.kr
0,멘티스코,서울특별시 강남구,유선 온라인 게임 소프트웨어 개발 및 공급업,2017,
0,발란,경기도 수원시 영통구,사료 도매업,2005,www.naturalbalance.co.kr/
0,유니메오,서울특별시 서초구,소프트웨어 개발 및 공급업,2017,
0,큐이디,서울특별시 서초구,운동 및 경기용품 도매업,2019,
0,에스티엘,서울특별시 영등포구,신탁업 및 집합 투자업,2022,
0,큐이디,서울특별시 영등포구,신탁업 및 집합 투자업,2022,
0,패스트뷰,서울특별시 강남구,그 외 기타 정보 서비스업,2018,
0,하고엘앤에프,경기도 성남시 분당구,핸드백 및 지갑 제조업,2017,
