,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
0,서커스컴퍼니,2012.0,170563.0,20.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.circusar.com/
1,만나플래닛,2016.0,1419493.0,134.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 구로구,www.manna-planet.com
2,미트박스글로벌,2014.0,5521702.0,69.0,쇼핑몰·전자상거래·오픈마켓,중소기업,경기도 성남시 분당구,www.meatbox.co.kr
3,마크비전코리아,2019.0,,100.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.marqvision.com
4,위시빈,2018.0,749.0,20.0,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 중구,www.wishbeen.co.kr/
5,비에이치에스엔,2010.0,227876.0,13.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 종로구,www.bhskorea.com
6,퀀텀유니버스,2020.0,75094.0,19.0,소프트웨어·솔루션·ASP,중소기업,,
8,커리어데이,2021.0,8338.0,6.0,사무지원·콜센터·텔레마케팅,중소기업,,
9,마켓디자이너스,2017.0,896636.0,80.0,시장조사·여론조사·경영컨설팅,중소기업,서울특별시 강남구,www.marketdesigners.com
10,하이,2005.0,55981354.0,743.0,문화·스포츠·엔터테인먼트,중견기업,서울특별시 용산구,hybecorp.com/www.hybe.co
11,씨드로닉스,2015.0,,,기계·조선·자동차·운송장비,중소기업,서울특별시 강남구,www.seadronix.com
13,한국모바일결제,2020.0,,,소프트웨어·솔루션·ASP,소기업,서울특별시 강남구,www.baroapp.co.kr
14,엠포스,2000.0,2005269.0,237.0,방송·광고·영상·오디오,중소기업,서울특별시 강남구,www.emforce.co.kr
15,크리스틴컴퍼니,2019.0,72108.0,5.0,가죽·가방·신발,중소기업,경상남도 김해시,www.kristinkorea.com
16,헤세그,2020.0,20100.0,8.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 서초구,www.hessegg.com
17,어니컴,1998.0,2600067.0,415.0,모바일·무선,중소기업,서울특별시 용산구,www.onycom.com
20,오늘의작업장,2022.0,,,소프트웨어·솔루션·ASP,중소기업,,
21,누리랩,2015.0,223434.0,24.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구,wwww.nurilab.com
22,법틀,2017.0,155433.0,16.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 성동구,www.buptle.com
23,마이크로프로텍트,2020.0,,7.0,보험·연금,중소기업,,
24,피에로컴퍼니,2020.0,45000.0,10.0,네트워크·통신,중소기업,서울특별시 강남구,www.phonego.co.kr
26,더블유클럽,2021.0,421616.0,10.0,소프트웨어·솔루션·ASP,중소기업,,
27,벨루가브루어리,2017.0,38010.0,,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 마포구,veluga.kr
28,에임(AIM),2015.0,,22.0,교육기관,소기업,,
29,인터엑스,2010.0,132825.0,11.0,소프트웨어·솔루션·ASP,중소기업,경기도 성남시 분당구,www.interxsoft.com
30,스펙터,2020.0,2014.0,25.0,웹에이젼시·IT컨설팅,중소기업,서울특별시 강남구,www.specter.co.kr
31,에쓰오씨소프트,1984.0,1083359.0,29.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 구로구,www.mapinfo.co.kr
32,니어브레인,2022.0,,4.0,소프트웨어·솔루션·ASP,중소기업,,
36,구름,2011.0,168494.0,30.0,소매,중소기업,서울특별시 송파구,www.goorm.co
37,디케이테크인,2009.0,,,전기·전자·반도체,소기업,,
38,휴런,2003.0,53672.0,8.0,금융상품중개업,중소기업,,
39,지엔,2018.0,119989.0,14.0,도매·상품중개,중소기업,경기도 하남시,www.gncauto.com
41,휴맥스모빌리티,,,,기계장비·운송장비임대,중소기업,,
43,럭스소프트코리아,2018.0,,44.0,소프트웨어·솔루션·ASP,중소기업,,
48,알지티,,,9.0,전기·전자·반도체,,,
50,우리엔,2007.0,176777581.0,1766.0,인터넷·포털·컨텐츠·게임,중견기업,서울특별시 강남구,www.krafton.com
51,에이에프아이,2017.0,67717.0,15.0,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 성동구,www.afidev.com
52,블루닷,2020.0,,,교육기관,소기업,,
53,와인루트,2021.0,,2.0,쇼핑몰·전자상거래·오픈마켓,중소기업,,
54,무신사,2012.0,64516211.0,1354.0,언론·출판·신문·잡지,중견기업,서울특별시 성동구,www.musinsa.com
59,바텍,1992.0,2389148.0,111.0,전기·전자·반도체,중소기업,구미시,www.khvatec.com
61,디어유,2017.0,4919386.0,95.0,소프트웨어·솔루션·ASP,대기업,서울특별시 강남구,www.dear-u.co
65,딥바이오,2015.0,4137.0,47.0,연구개발업,중소기업,서울특별시 구로구,www.deepbio.co.kr
66,일루니,2010.0,110315.0,5.0,전기·전자·반도체,중소기업,경기도 부천시,www.dl-ing.co.kr
67,리콘랩스,2019.0,29179.0,40.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,reconlabs.kr
68,다보링크,2019.0,7754550.0,86.0,전기·전자·반도체,중소기업,경기도 안양시 동안구,www.davolink.co.kr
69,이노버스,2022.0,32789.0,8.0,제조업기타,중소기업,서울특별시 영등포구,www.inobus.co.kr
70,백금티앤에이,1996.0,6330887.0,60.0,전기·전자·반도체,중소기업,경기도 군포시,www.bgtna.com
71,가온브로드밴드,2020.0,23493281.0,142.0,제조업기타,중견기업,경기도 성남시 분당구,www.kaonbroadband.com
72,휴먼아이씨티,2011.0,220373.0,22.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.hictc.com
73,아이투맥스,2003.0,2710529.0,191.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 마포구,www.i2max.co.kr
74,쉬모스랩,2017.0,22833.0,9.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.schmosslab.com
76,브로즈,2022.0,7000.0,8.0,소프트웨어·솔루션·ASP,중소기업,경기도 성남시 수정구,www.seoulbroz.com
77,모요,2021.0,142077900.0,783.0,건설·건축·토목·조경,대기업,서울특별시 강서구,www.xicna.com
78,룩코,2023.0,,,유통,소기업,,
79,펄송,2017.0,86807.0,18.0,기계·조선·자동차·운송장비,중소기업,대전광역시 유성구,www.lavviebot.com
81,와들,2021.0,,5.0,섬유·의복·모피,소기업,,
82,월급쟁이부자들,2018.0,2399393.0,,교육기관,중소기업,서울특별시 강남구,cafe.naver.com/wecando7
83,플레져,2010.0,,,교육기관,소기업,경기도 수원시 팔달구,cafe.naver.com/ipleasurejunglegym
86,지엔에이컴퍼니,2020.0,211525.0,23.0,소프트웨어·솔루션·ASP,중소기업,충청남도 아산시,www.playio.kr
88,스쿨버스,2018.0,121399.0,42.0,육상운송,중소기업,서울특별시 강서구,www.safeschoolbus.net
89,알고케어,2019.0,5044.0,,연구개발업,중소기업,,
90,탈잉,2016.0,442277.0,9.0,교육·연구및개발,중소기업,서울특별시 강남구,taling.me
91,로이드케이,2011.0,830251.0,20.0,소프트웨어·솔루션·ASP,중소기업,경기도 성남시 수정구,lloydk.co.kr
93,스트레스솔루션,2022.0,,5.0,연구개발업,중소기업,,
95,제로엑스플로우,2017.0,21873.0,10.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 마포구,1hour.ai/
96,왓타임,2021.0,,1.0,소프트웨어·솔루션·ASP,중소기업,,
97,컬리,2014.0,203359450.0,2867.0,도매·상품중개,중견기업,서울특별시 강남구,www.kurly.com
98,인스피언,2009.0,1322695.0,85.0,언론·출판·신문·잡지,중소기업,서울특별시 금천구,www.inspien.co.kr
99,누트컴퍼니,2018.0,17697.0,13.0,쇼핑몰·전자상거래·오픈마켓,중소기업,,
102,가이던스,2000.0,291334.0,34.0,제조업기타,중소기업,경기도 성남시 분당구,www.guidance.co.kr
103,엠지알브이,2018.0,1558548.0,87.0,부동산업,중소기업,서울특별시 성동구,www.mgrv.company
105,브레이브컴퍼니,2020.0,357782.0,3.0,쇼핑몰·전자상거래·오픈마켓,중소기업,서울특별시 강남구,www.bravecompany.kr/
111,스퀘어스,2021.0,106862.0,7.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 중구,www.squares.ai
112,핌아시아,2014.0,741269.0,55.0,소매,중소기업,서울특별시 강남구,www.thirtymall.com/
113,딥세일즈,2021.0,91254.0,14.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,deepsales.com/+
114,에피소든,2021.0,,13.0,인터넷·포털·컨텐츠·게임,중소기업,,
117,스페클립스,2015.0,23700.0,5.0,연구개발업,중소기업,경기도 성남시 분당구,www.speclipse.com
119,라텔앤드파트너즈,2020.0,332945.0,36.0,방송·광고·영상·오디오,중소기업,,
120,아더월드,2023.0,,,인터넷·포털·컨텐츠·게임,중소기업,,
121,웰로,2013.0,237859546.0,6962.0,유통,대기업,경기도 성남시 분당구,www.samsungwelstory.com
123,이노그리드,2006.0,1415015.0,189.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 서초구,www.innogrid.com
126,아파트아이,2018.0,,2.0,전기·설비·환경·플랜트,중소기업,,
127,아이헤이트플라잉버그스,2012.0,1315544.0,457.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구,mildang.kr/
130,에이치비엠피,2014.0,27847.0,8.0,사무지원·콜센터·텔레마케팅,중소기업,제주시,www.teeshot.co.kr
131,멘티스코,2017.0,194214.0,45.0,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 강남구,www.imantisco.com
134,이엔티팩토리,2005.0,363988.0,9.0,인테리어·디자인,중소기업,서울특별시 종로구,www.entfactory.com
135,인디제이,2019.0,73111.0,8.0,제품·시각디자인,중소기업,광주광역시 북구,indj.net
138,큐픽스,2015.0,280419.0,59.0,소프트웨어·솔루션·ASP,중소기업,경기도 성남시 분당구,www.cupix.com
139,어라운더블,2020.0,29825.0,5.0,개인서비스,중소기업,충청남도 천안시 서북구,m.picknpick.co.kr/
140,유니메오,2017.0,253688.0,33.0,연구개발업,중소기업,서울특별시 서초구,www.unimewo.com/
145,코넥시오에이치,2020.0,7431.0,15.0,소프트웨어·솔루션·ASP,중소기업,광주광역시 동구,www.connexioh.net
147,경일게임아카데미,2010.0,28352.0,30.0,교육·연구및개발,중소기업,서울특별시 강동구,www.kiweb.or.kr
148,에스티엘,2013.0,63583963.0,1694.0,의약품·의료용품·바이오,중견기업,서울특별시 동대문구,www.donga-st.com
149,패스트뷰,2021.0,,4.0,생활용품·화장품,중소기업,,
153,선후,2018.0,49345.0,11.0,전기·전자·반도체,중소기업,,
155,업템포글로벌,2020.0,324689.0,50.0,연구개발업,중소기업,서울특별시 강남구,www.uptempoglobal.com
156,에이엘에이엔,2016.0,,5.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.alancorp.net
162,위버로프트,2019.0,120000.0,10.0,웹에이젼시·IT컨설팅,중소기업,서울특별시 구로구,weaverloft.com
