,기업명,주소,업종분류,설립연도,기업홈페이지URL
0,이큐브랩,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1503호",그 외 기타 특수 목적용 기계 제조업,2011-07-01,www.ecubelabs.com
0,마크비전코리아,"서울특별시 강남구 테헤란로 427 (삼성동, 위워크타워) 6층 101호 102호, 103호",응용 소프트웨어 개발 및 공급업,2019-12-12,
0,미트박스글로벌,서울특별시 강남구 테헤란로34길 22 (역삼동),전자상거래 소매 중개업,2014-05-19,https://www.meatbox.co.kr/
0,마켓디자이너스,"서울특별시 강남구 테헤란로20길 9 (역삼동, 동궁빌딩) 3층, 13층",교육 서비스업,2017-02-09,
0,이큐브랩,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1503호",그 외 기타 특수 목적용 기계 제조업,2011-07-01,www.ecubelabs.com
0,크래프트테크놀로지스,"서울특별시 성동구 왕십리로 58 (성수동1가, FORHU)",전기ㆍ전자공학 연구개발업,2016-01-31,www.qraft.co.kr
0,에스티씨랩,"서울특별시 강남구 봉은사로37길 5 (논현동, 캠프지) 2,3,5층",시스템 소프트웨어 개발 및 공급업,2020-06-01,www.stclab.com/
0,브랜디,서울특별시 강남구 테헤란로32길 26 (역삼동),남녀용 겉옷 및 셔츠 도매업,2014-12-12,www.brandi.co.kr
0,케이스마텍,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) A동 1207호",시스템 소프트웨어 개발 및 공급업,2010-05-14,www.ksmartech.com
0,발란,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) A동 1207호",시스템 소프트웨어 개발 및 공급업,2010-05-14,www.ksmartech.com
0,어니컴,경기도 수원시 영통구 중부대로 263 4층,응용 소프트웨어 개발 및 공급업,1998-09-10,www.onycom.com
0,누리랩,"서울특별시 용산구 두텁바위로 21 (갈월동, 어니컴빌딩) 5층",응용 소프트웨어 개발 및 공급업,2012-09-17,nbt.com/
0,엔비티,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,광고 대행업,2012-09-17,nbt.com/
0,마켓디자이너스,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,광고 대행업,2012-09-17,nbt.com/
0,하이퍼커넥트,"서울특별시 강남구 영동대로 517 (삼성동, 아셈타워) 20층",응용 소프트웨어 개발 및 공급업,2014-03-12,www.hpcnt.com
0,휴런,"인천광역시 남동구 미래로 7 10층 (주)휴런(구월동, 현대해상빌딩)",그 외 기타 의료용 기기 제조업,2017-11-24,www.iheuron.com
0,휴맥스모빌리티,"경기도 성남시 분당구 황새울로 216 (수내동, 휴맥스빌리지)",자동차 임대업,2016-01-11,https://kr.humaxdigital.com/humax-mobility
0,디케이테크인,"경기도 성남시 분당구 판교역로 235 3층 (삼평동, 에이치스퀘어엔동)",소프트웨어 개발 및 공급업,2015-08-01,www.dktechin.com
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,무신사,서울특별시 성동구 아차산로13길 11 (성수동2가) 무신사캠퍼스 N1 1층,통신 판매업,2012-06-25,
0,바텍,경상북도 구미시 1공단로10길 53-12 (주)KH바텍,기타 전자 부품 제조업,1992-11-23,www.khvatec.com
0,마크비전코리아,전라남도 목포시 영산로 93-1 (명륜동) 5층 570호,응용 소프트웨어 개발 및 공급업,2019-12-12,
0,마크비전코리아,"서울특별시 강남구 테헤란로 427 (삼성동, 위워크타워) 6층 101호 102호, 103호",응용 소프트웨어 개발 및 공급업,2019-12-12,
0,딥바이오,"서울특별시 구로구 디지털로33길 27 610-613호(구로동, 삼성IT밸리)",응용 소프트웨어 개발 및 공급업,2015-10-08,www.deepbio.co.kr
0,다보링크,경기도 안양시 동안구 벌말로 112 주식회사 다보링크,통신 및 방송장비 제조업,2019-10-17,www.davolink.co.kr
0,백금티앤에이,"경기도 군포시 엘에스로 153-18(산본동) L&C타워 4,5,6층",방송 및 무선 통신장비 제조업,1996-12-17,www.bgtna.com
0,가온브로드밴드,경기도 성남시 분당구 성남대로 884-3 (야탑동) 가온미디어빌딩 4층,그 외 기타 전자 부품 제조업,2020-07-03,
0,아이투맥스,"서울특별시 마포구 마포대로 137 (공덕동, KPX빌딩) 6층",시스템 소프트웨어 개발 및 공급업,2003-01-17,www.i2max.co.kr
0,마켓디자이너스,"서울특별시 강남구 테헤란로20길 9 (역삼동, 동궁빌딩) 3층, 13층",교육 서비스업,2017-02-09,
0,딥바이오,"서울특별시 구로구 디지털로33길 27 610-613호(구로동, 삼성IT밸리)",응용 소프트웨어 개발 및 공급업,2015-10-08,www.deepbio.co.kr
0,레벨스,"서울특별시 도봉구 시루봉로 166 (방학동, 동양크레오아파트)",기타 인쇄물 출판업,2021-11-19,
0,버즈빌,"서울특별시 송파구 석촌호수로 272 (송파동, 대림빌딩)",광고 매체 판매업,2012-05-08,www.buzzvil.com
0,이큐브랩,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1503호",그 외 기타 특수 목적용 기계 제조업,2011-07-01,www.ecubelabs.com
0,카카오스타일,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 27층",응용 소프트웨어 개발 및 공급업,2012-02-20,https://kakaostyle.com/
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,딥바이오,"서울특별시 구로구 디지털로33길 27 610-613호(구로동, 삼성IT밸리)",응용 소프트웨어 개발 및 공급업,2015-10-08,www.deepbio.co.kr
0,디어유,서울특별시 강남구 학동로25길 37 -,응용 소프트웨어 개발 및 공급업,2017-07-04,www.dear-u.co
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,옴니어스,"서울특별시 강남구 도산대로 145 (신사동, 인우빌딩(INWOO)) 12층 1207호",응용 소프트웨어 개발 및 공급업,2015-08-03,omnicommerce.ai/ko-kr/
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,컬리,"서울특별시 관악구 조원로18길 28 (신림동, 후창빌딩)",호텔업,2005-01-31,
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,엠지알브이,서울특별시 성동구 왕십리로 115 504호 (성수동1가),주거용 부동산 관리업,2018-09-28,www.mgrv.company
0,스페클립스,경기도 성남시 분당구 운중로 141 (운중동) 경창빌딩 4층,의학 및 약학 연구개발업,2015-11-05,www.speclipse.com
0,유에이치씨,서울특별시 중구 명동8가길 42-1 (충무로2가),기타 일반 및 생활 숙박시설 운영업,2017-03-28,uhsuite.co.kr
0,마켓디자이너스,"서울특별시 강남구 테헤란로20길 9 (역삼동, 동궁빌딩) 3층, 13층",교육 서비스업,2017-02-09,
0,미트박스글로벌,서울특별시 강남구 테헤란로34길 22 (역삼동),전자상거래 소매 중개업,2014-05-19,https://www.meatbox.co.kr/
0,아이헤이트플라잉버그스,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원) 38, 39층",온라인 교육학원,2012-01-02,
0,하이,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원) 38, 39층",온라인 교육학원,2012-01-02,
0,엠포스,"서울특별시 서초구 방배로 285 (방배동, 한샘빌딩) 2층~5층",광고 대행업,2000-11-17,www.emforce.co.kr
0,크래프트테크놀로지스,"서울특별시 성동구 왕십리로 58 (성수동1가, FORHU)",전기ㆍ전자공학 연구개발업,2016-01-31,www.qraft.co.kr
0,멘티스코,"서울특별시 강남구 삼성로85길 35-6 4층 (대치동, 목천빌딩)",유선 온라인 게임 소프트웨어 개발 및 공급업,2017-09-19,
0,엔비티,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,광고 대행업,2012-09-17,nbt.com/
0,마켓디자이너스,"서울특별시 강남구 테헤란로20길 9 (역삼동, 동궁빌딩) 3층, 13층",교육 서비스업,2017-02-09,
0,발란,경기도 수원시 영통구 중부대로 263 4층,사료 도매업,2005-05-10,www.naturalbalance.co.kr/
0,유니메오,"서울특별시 서초구 강남대로37길 56-18 (서초동, 서초에메랄드빌딩) 4층",소프트웨어 개발 및 공급업,2017-04-13,
0,큐이디,"서울특별시 서초구 강남대로37길 56-18 (서초동, 서초에메랄드빌딩) 4층",운동 및 경기용품 도매업,2019-01-08,
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,에스티엘,"서울특별시 영등포구 국제금융로2길 7 (여의도동, 한주빌딩), 801호",신탁업 및 집합 투자업,2022-03-23,
0,큐이디,"서울특별시 영등포구 국제금융로2길 7 (여의도동, 한주빌딩), 801호",신탁업 및 집합 투자업,2022-03-23,
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,패스트뷰,"서울특별시 강남구 강남대로 364 (역삼동, 미왕빌딩) 12층",그 외 기타 정보 서비스업,2018-04-27,
0,하고엘앤에프,경기도 성남시 분당구 판교로 242 (삼평동) 판교디지털센터 에이동 3층 301호(통칭 303호),핸드백 및 지갑 제조업,2017-01-02,
0,무신사,서울특별시 성동구 아차산로13길 11 (성수동2가) 무신사캠퍼스 N1 1층,통신 판매업,2012-06-25,
0,줌인터넷,서울특별시 서초구 반포대로 3 이스트빌딩 -,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",2016-02-12,www.zuminternet.com
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,에스티엘,"서울특별시 영등포구 국제금융로2길 7 (여의도동, 한주빌딩), 801호",신탁업 및 집합 투자업,2022-03-23,
0,유와이즈원,"서울특별시 강남구 봉은사로 640 (삼성동, 에스빌딩)",그 외 기타 정보 서비스업,2011-01-01,
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,앤트,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,아이투맥스,"서울특별시 마포구 마포대로 137 (공덕동, KPX빌딩) 6층",시스템 소프트웨어 개발 및 공급업,2003-01-17,www.i2max.co.kr
0,줌인터넷,서울특별시 서초구 반포대로 3 이스트빌딩 -,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",2016-02-12,www.zuminternet.com
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,에스티엘,"서울특별시 영등포구 국제금융로2길 7 (여의도동, 한주빌딩), 801호",신탁업 및 집합 투자업,2022-03-23,
0,아백,"서울특별시 영등포구 의사당대로 97 (여의도동, 교보증권빌딩) 17층",기타 금융업,2016-11-18,
0,씨알에스큐브,"서울특별시 마포구 월드컵북로 396 (상암동, 누리꿈스퀘어) 807호 연구개발타워",응용 소프트웨어 개발 및 공급업,2011-05-17,www.crscube.io
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,잉카엔트웍스,"서울특별시 강남구 논현로 608 1층(논현동, 덕수빌딩)",시스템 소프트웨어 개발 및 공급업,2000-10-05,www.inka.co.kr
0,이큐브랩,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1503호",그 외 기타 특수 목적용 기계 제조업,2011-07-01,www.ecubelabs.com
0,알스퀘어,"서울특별시 강남구 테헤란로 311 5층 (역삼동, 아남타워빌딩)",부동산관련 서비스업,2009-11-03,https://www.rsquare.co.kr
0,호두랩스,"서울특별시 강남구 언주로 637 12층,(논현동, 싸이칸타워)",유선 온라인 게임 소프트웨어 개발 및 공급업,2018-11-30,
0,호두랩스,"서울특별시 강남구 언주로 637 12층,(논현동, 싸이칸타워)",유선 온라인 게임 소프트웨어 개발 및 공급업,2018-11-30,
0,미트박스글로벌,서울특별시 강남구 테헤란로34길 22 (역삼동),전자상거래 소매 중개업,2014-05-19,https://www.meatbox.co.kr/
0,엑스페릭스,"경기도 성남시 중원구 사기막골로62번길 37 1207호 (상대원동, 스타타워)",전자 부품 제조업,2017-04-03,www.xperix.com
0,아이투맥스,"서울특별시 마포구 마포대로 137 (공덕동, KPX빌딩) 6층",시스템 소프트웨어 개발 및 공급업,2003-01-17,www.i2max.co.kr
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,핏펫,"서울특별시 강남구 테헤란로 420 (대치동, 메이플타워MaypleTower) 13,14층",응용 소프트웨어 개발 및 공급업,2017-06-01,fitpet.co.kr/
0,스페이스애드,"서울특별시 강남구 도산대로 156 (논현동, 중앙엠앤비사옥) 5층",옥외 및 전시 광고업,2017-12-20,spaceadd.com/
0,에이로직,"경기도 성남시 분당구 황새울로240번길 3 714(수내동, 현대오피스빌딩)",전자집적회로 제조업,2004-04-12,www.3alogics.com
0,미트박스글로벌,서울특별시 강남구 테헤란로34길 22 (역삼동),전자상거래 소매 중개업,2014-05-19,https://www.meatbox.co.kr/
0,옴니어스,"서울특별시 강남구 도산대로 145 (신사동, 인우빌딩(INWOO)) 12층 1207호",응용 소프트웨어 개발 및 공급업,2015-08-03,omnicommerce.ai/ko-kr/
0,스카이랩스,경기도 성남시 분당구 판교로255번길 58 (삼평동) 씨즈타워 703호,그 외 기타 의료용 기기 제조업,2015-09-08,
0,아이헤이트플라잉버그스,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원) 38, 39층",온라인 교육학원,2012-01-02,
0,머니투데이,"서울특별시 종로구 청계천로 11 (서린동, 청계한국빌딩), 6층",신문 발행업,2023-11-02,
0,푸드테크,"서울특별시 영등포구 여의나루로4길 18 (여의도동, 키움파이낸스스퀘어) 16층",그 외 기타 금융업,2021-09-29,
0,여기어때컴퍼니,"서울특별시 강남구 봉은사로 479 479타워,11층(삼성동)",포털 및 기타 인터넷 정보 매개 서비스업,2015-09-21,https://www.gccompany.co.kr
0,여기어때컴퍼니,"서울특별시 강남구 봉은사로 479 479타워,11층(삼성동)",포털 및 기타 인터넷 정보 매개 서비스업,2015-09-21,https://www.gccompany.co.kr
0,셀바스에이아이,서울특별시 금천구 가산디지털1로 19 대륭테크노타운 18차 20층,시스템ㆍ응용 소프트웨어 개발 및 공급업,1999-03-31,www.selvasai.com
0,놀이의발견,"서울특별시 마포구 월드컵북로56길 9 (상암동, (주)우리기술사옥)",전자상거래 소매 중개업,2020-05-01,https://nolbal.com/
0,더블다운인터액티브,"서울특별시 강남구 테헤란로 152 (역삼동, 강남파이낸스센터) 13층",유선 온라인 게임 소프트웨어 개발 및 공급업,2008-02-29,
0,링글잉글리시에듀케이션서비스,"서울특별시 서초구 서초대로78길 22 (서초동, 홍우제2빌딩)",기타 기술 및 직업 훈련학원,2015-05-29,
0,렌딧,"서울특별시 중구 을지로5길 19 18층 (수하동, FERRUMTOWER)",소프트웨어 개발 및 공급업,2015-03-23,
0,차지비,"서울특별시 중구 을지로5길 19 18층 (수하동, FERRUMTOWER)",일반 전기 공사업,2019-09-16,www.chargev.co.kr
0,만나플래닛,"서울특별시 구로구 경인로 661 (신도림동, 신도림1차푸르지오) 101동 1401호",응용 소프트웨어 개발 및 공급업,2016-04-15,
0,비로보틱스,"서울특별시 강동구 천호대로 1186 (둔촌동, 원경빌딩) 2층",산업용 로봇 제조업,1999-01-15,www.doobae.co.kr
0,스페클립스,경기도 성남시 분당구 운중로 141 (운중동) 경창빌딩 4층,의학 및 약학 연구개발업,2015-11-05,www.speclipse.com
0,알스퀘어,"서울특별시 강남구 테헤란로 311 5층 (역삼동, 아남타워빌딩)",부동산관련 서비스업,2009-11-03,https://www.rsquare.co.kr
0,유에이치씨,서울특별시 중구 명동8가길 42-1 (충무로2가),기타 일반 및 생활 숙박시설 운영업,2017-03-28,uhsuite.co.kr
0,마더브레인,"서울특별시 서초구 서초대로77길 54 (서초동, 서초더블유타워) 15,16층 마더브레인",광고 대행업,2009-03-09,
0,미트박스글로벌,서울특별시 강남구 테헤란로34길 22 (역삼동),전자상거래 소매 중개업,2014-05-19,https://www.meatbox.co.kr/
0,와이즈버즈,경기도 성남시 수정구 금토로 69 다우디지털스퀘어 5층,광고업,2017-06-01,www.wisebirds.co
0,크래프트테크놀로지스,"서울특별시 성동구 왕십리로 58 (성수동1가, FORHU)",전기ㆍ전자공학 연구개발업,2016-01-31,www.qraft.co.kr
0,아이헤이트플라잉버그스,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원) 38, 39층",온라인 교육학원,2012-01-02,
0,크래프트테크놀로지스,"서울특별시 성동구 왕십리로 58 (성수동1가, FORHU)",전기ㆍ전자공학 연구개발업,2016-01-31,www.qraft.co.kr
0,발란,경기도 수원시 영통구 중부대로 263 4층,사료 도매업,2005-05-10,www.naturalbalance.co.kr/
0,탈로스,경기도 안양시 동안구 학의로 282 금강펜테리움IT타워 1701호~1708호,축전지 제조업,2005-03-30,www.talos.or.kr
0,에이지,"서울특별시 성동구 왕십리로 369 1005호(하왕십리동, 동인레반트오피스텔)",경영 컨설팅업,2015-11-06,
0,엔비티,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,광고 대행업,2012-09-17,nbt.com/
0,아이디에스앤트러스트,"서울특별시 강남구 봉은사로 644 (삼성동, 대웅제약빌딩)",시스템 소프트웨어 개발 및 공급업,1996-01-16,www.idstrust.co.kr
0,발란,경기도 수원시 영통구 중부대로 263 4층,사료 도매업,2005-05-10,www.naturalbalance.co.kr/
0,인스피언,"서울특별시 금천구 벚꽃로 278 1309호(가산동, SJ테크노빌)",컴퓨터 시스템 통합 자문 및 구축 서비스업,2009-06-15,www.inspien.co.kr
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,디케이테크인,"경기도 성남시 분당구 판교역로 235 3층 (삼평동, 에이치스퀘어엔동)",소프트웨어 개발 및 공급업,2015-08-01,www.dktechin.com
0,패스트뷰,"서울특별시 강남구 강남대로 364 (역삼동, 미왕빌딩) 12층",그 외 기타 정보 서비스업,2018-04-27,
0,무신사,서울특별시 성동구 아차산로13길 11 (성수동2가) 무신사캠퍼스 N1 1층,통신 판매업,2012-06-25,
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,패스트뷰,"서울특별시 강남구 테헤란로 427 (삼성동, 위워크타워) 6층 101호 102호, 103호",응용 소프트웨어 개발 및 공급업,2019-12-12,
0,아더월드,경기도 용인시 이동면 서리 908-1,시스템 소프트웨어 개발 및 공급업,1998-10-23,www.anotherworld.to
0,이노그리드,"서울특별시 중구 을지로 100 비동 10층 (을지로2가, 파인에비뉴)",시스템 소프트웨어 개발 및 공급업,2006-10-02,www.innogrid.com
0,이큐브랩,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1503호",그 외 기타 특수 목적용 기계 제조업,2011-07-01,www.ecubelabs.com
0,발란,경기도 수원시 영통구 중부대로 263 4층,사료 도매업,2005-05-10,www.naturalbalance.co.kr/
0,아더월드,경기도 용인시 이동면 서리 908-1,시스템 소프트웨어 개발 및 공급업,1998-10-23,www.anotherworld.to
0,구름,경기도 성남시 분당구 판교로 242 PDC A동 9층(삼평동),컴퓨터 프로그래밍 서비스업,2013-03-08,goorm.co
0,빅픽처인터렉티브,서울특별시 금천구 두산로9길 31 빅픽처인터렉티브,그 외 기타 정보 서비스업,2015-04-06,www.bigpi.co/
0,엔비티,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,광고 대행업,2012-09-17,nbt.com/
0,투스카이,서울특별시 서초구 서초대로38길 12 마제스타시티 타워원 14층,광고 대행업,2012-09-17,nbt.com/
0,에이지,"서울특별시 성동구 왕십리로 369 1005호(하왕십리동, 동인레반트오피스텔)",경영 컨설팅업,2015-11-06,
0,큐픽스,"서울특별시 성동구 왕십리로 369 1005호(하왕십리동, 동인레반트오피스텔)",경영 컨설팅업,2015-11-06,
0,엘케이알,"서울특별시 서초구 강남대로 327 (서초동, 센추리비즈니스센터)지하 1층202호","건축 자재, 철물 및 난방장치 도매업",2002-05-20,
0,줌인터넷,서울특별시 서초구 반포대로 3 이스트빌딩 -,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",2016-02-12,www.zuminternet.com
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,지니언스,"경기도 안양시 동안구 벌말로 66 12층 A-F(관양동,평촌역 하이필드)",시스템 소프트웨어 개발 및 공급업,2005-01-06,www.genians.co.kr/
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,엘케이벤쳐스,전라남도 목포시 영산로 93-1 (명륜동) 5층 570호,그 외 기타 일반 목적용 기계 제조업,2018-01-29,
0,마크비전코리아,"서울특별시 강남구 테헤란로 427 (삼성동, 위워크타워) 6층 101호 102호, 103호",응용 소프트웨어 개발 및 공급업,2019-12-12,
0,마켓디자이너스,"서울특별시 강남구 테헤란로20길 9 (역삼동, 동궁빌딩) 3층, 13층",교육 서비스업,2017-02-09,
0,모라이,"서울특별시 강남구 테헤란로 501 12(삼성동, 브이플렉스)","기타 전문, 과학 및 기술 서비스업",2018-04-10,
0,유니버스,경기도 성남시 분당구 판교로256번길 25 씨3-7 비동 6층(삼평동),시스템ㆍ응용 소프트웨어 개발 및 공급업,2022-12-01,
0,수성엔지니어링,경기도 안양시 만안구 안양동 528-13,건물 및 토목 엔지니어링 서비스업,1990-03-01,www.soo-sung.co.kr
0,버즈빌,"서울특별시 송파구 석촌호수로 272 (송파동, 대림빌딩)",광고 매체 판매업,2012-05-08,www.buzzvil.com
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,이큐브랩,"서울특별시 구로구 디지털로34길 55 (구로동, 코오롱싸이언스밸리2차) 1503호",그 외 기타 특수 목적용 기계 제조업,2011-07-01,www.ecubelabs.com
0,호두랩스,"서울특별시 강남구 언주로 637 12층,(논현동, 싸이칸타워)",유선 온라인 게임 소프트웨어 개발 및 공급업,2018-11-30,
0,아이투맥스,"서울특별시 마포구 마포대로 137 (공덕동, KPX빌딩) 6층",시스템 소프트웨어 개발 및 공급업,2003-01-17,www.i2max.co.kr
0,월급쟁이부자들,"서울특별시 서초구 사임당로 143 2층 (서초동, Cross143)",그 외 기타 분류 안된 교육기관,2018-03-27,www.weolbu.com/
0,크래프톤,서울특별시 강남구 테헤란로 231,게임 소프트웨어 개발 및 공급업,2007-03-26,www.krafton.com
0,에이로직,"경기도 성남시 분당구 황새울로240번길 3 714(수내동, 현대오피스빌딩)",전자집적회로 제조업,2004-04-12,www.3alogics.com
0,멘티스코,"서울특별시 강남구 삼성로85길 35-6 4층 (대치동, 목천빌딩)",유선 온라인 게임 소프트웨어 개발 및 공급업,2017-09-19,
0,아이헤이트플라잉버그스,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원) 38, 39층",온라인 교육학원,2012-01-02,
0,무신사,서울특별시 성동구 아차산로13길 11 (성수동2가) 무신사캠퍼스 N1 1층,통신 판매업,2012-06-25,
0,배움,"경상남도 진주시 진주대로 897 (강남동, 대경빌딩)",비주거용 건물 건설업,2007-08-03,
0,무신사,서울특별시 성동구 아차산로13길 11 (성수동2가) 무신사캠퍼스 N1 1층,통신 판매업,2012-06-25,
0,놀이의발견,"서울특별시 마포구 월드컵북로56길 9 (상암동, (주)우리기술사옥)",전자상거래 소매 중개업,2020-05-01,https://nolbal.com/
0,링글잉글리시에듀케이션서비스,"서울특별시 서초구 서초대로78길 22 (서초동, 홍우제2빌딩)",기타 기술 및 직업 훈련학원,2015-05-29,
0,배움,"경상남도 진주시 진주대로 897 (강남동, 대경빌딩)",비주거용 건물 건설업,2007-08-03,
0,투스카이,"인천광역시 서구 로봇랜드로 155-11 601호, 602호, 603호, 604호, 605호(청라동, 인천로봇랜드 로봇타워)",무인 항공기 및 무인 비행장치 제조업,2017-12-26,www.intosky.co.kr
0,뉴아인,서울특별시 동대문구 회기로 117-3 서울바이오허브 산업지원동 403호(회기동),자연과학 및 공학 융합 연구개발업,2017-09-05,www.nueyne.com
0,모라이,"서울특별시 강남구 테헤란로 501 12(삼성동, 브이플렉스)","기타 전문, 과학 및 기술 서비스업",2018-04-10,
0,미트박스글로벌,서울특별시 강남구 테헤란로34길 22 (역삼동),전자상거래 소매 중개업,2014-05-19,https://www.meatbox.co.kr/
0,리코,"서울특별시 강남구 영동대로 511 (삼성동, 트레이드타워) 2407호",경영 컨설팅업,2003-06-27,
0,플레이위드,"서울특별시 서초구 마방로 60 5층, 6층, 23층",소프트웨어 개발 및 공급업,1984-07-25,www.playwith.co.kr
0,메디허브,"경기도 군포시 엘에스로 175 (산본동, 에스에이타워)108호",전기식 진단 및 요법 기기 제조업,2017-01-09,
