,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
0,젭(zep),서울특별시 강남구 강남대로94길 10 케이스퀘어 8층,소프트웨어 엔지니어,"하나이상의프로그래밍언어를다룰수있는분•새로운지식,기술에대한관심과열정이있으신분•협업과커뮤니케이션이원활하고성실하신분",3,"• 멀티 쓰레드와 분할 서버 환경을 이해하시는 분, • 웹소켓 서버에 대한 이해가 있으신 분, • 클라우드 환경에서의 구축 & 운영 경험이 있으신 분 (AWS 등), • 메타버스에 대한 관심이 높은 분",https://www.wanted.co.kr/wd/180861
1,서커스컴퍼니,서울시 강남구 논현동 87-3 우신논현빌딩 3층,소프트웨어 엔지니어," 나이/성별/학력/전공무관, 3년이상의웹어플리케이션개발,운영경험, Node,.Net,Nginx,Apache,SystemDesign, MySQL,MariaDB,SQLServer등DBMS경험, 기본적인Linux사용능력, 여러직군들과협업하며AR/VR/MR/XR선도하는서비스를만들어가고싶으신분",0,"- 품질 좋은 소프트웨어 개발을 위해 지속적으로 노력해오신 분, - 객체지향 개발 및 테스트 작성에 대한 높은 이해, - 빌드 / 테스트 / 배포 자동화 경험 및 프로젝트 / 서버 아키텍처 구성, - AWS(EC2, S3, CF, …)를 활용한 개발, 운영 경험, - Git 등의 버전관리 시스템 사용 경험",https://www.wanted.co.kr/wd/207284
2,블로코(blocko),"경기도 성남시 분당구 성남대로 331번길 9-13, 3층(정자동, 이현빌딩)",소프트웨어 엔지니어," Golang개발경력2년이상, 대용량데이터,쓰레드프로그래밍에익숙한분",2,"• 블록체인 관련 개발 경험, • 블록체인 스마트 컨트랙트 개발 경험, • 타 언어 및 프레임워크(spring-boot, nodejs, lua) 개발경험, • 암호화 및 전자서명 관련 개발경험, • Docker 환경 사용 경험, • 클라우드 환경 설정 및 활용 (AWS 등), • ElasticSearch 활용 경험, •",https://www.wanted.co.kr/wd/206690
3,피매치,마포구 마포대로 122 프론트원 13층,소프트웨어 엔지니어,"경력:동종업(AI서비스개발/운영)2년이상또는그에준하는역량을가지신분•대용량데이터활용이가능하신분•Python,Tensorflow,Pytorch등딥러닝프레임워크개발에능숙하신분",2,"• 헬스케어 분야에서의 경험이 있으신 분, • 자연어 생성 모델(LLM) 관련 경험이 있으신 분 , • Linux, Docker 기반 개발 경험하신 분, • 최신 영문 논문을 분석하고 재현하는 데 능숙한 분",https://www.wanted.co.kr/wd/186806
4,만나플래닛,"서울시 구로구 경인로661, 101동 15층",소프트웨어 엔지니어,5년이상JAVA개발경험을가지신분ㆍ팀원들과원할한커뮤니케이션이가능하신분ㆍ스스로할일을정하고문제를해결할수있으신분,5,"ㆍRest API를 이해하고 API를 개발할 수 있는 분, ㆍGit, redmine 등의 협업 도구 사용에 익숙하신 분, ㆍ다양한 언어와 프레임워크를 경험해 보신 분 , ㆍ최신 기술 트렌드 적용 및 공유에 관심이 많으신 분 , ㆍ코드 리뷰에 적극 참여하시는 분",https://www.wanted.co.kr/wd/206244
5,패스트레인(여신티켓),강남구 테헤란로 423 현대타워 10층,소프트웨어 엔지니어,iOS네이티브앱개발3년이상의개발경험이있으신분•iOS네이티브앱프로젝트시작과배포까지싸이클경험이있으신분•UnidirectionalDataflow에대한이해를갖추신분•iOS최신트렌드를이용한개발경험을보유하고계신분•문제가생겼을때발빠르게대처할수있는디버깅스킬을갖추신분•분업과협력을통한훌륭한팀워크및커뮤니케이션능력을갖추신분•최신기술에지속적인관심을기울이고계신분•형상관리도구사용경험,3,"• RESTful API에 대한 이해를 갖추신 분  , • 다양한 아키텍쳐 및 코드 패턴에 대한 이해를 갖추신 분  , • 코드베이스로 UI 작성이 가능하신 분  , • 코드 개선 및 코드 리뷰에 대한 깊은 관심이 있으신 분  , • 유닛 테스트 및 UI 테스트 작성 경험을 보유하고 계신 분  , • 슬랙 / jira 등 이슈관리 도구 경험",https://www.wanted.co.kr/wd/179720
6,미트박스글로벌,"서울 강남구 테헤란로34길 22, 미트박스글로벌빌딩",소프트웨어 엔지니어,"CloudInfra(aws,gcp,azure,ncp등)사용/구축경험•helmchart,argoCD이용한컨테이너빌드/배포경험•수행업무에오픈소스SW적용경험(운영및troubleshooting등)•LinuxOS에솔루션구축경험",2,"• 컨테이너, 쿠버네티스 빌드 배포 구축 경험, • CI/CD 시스템 활용 및 구축 경험  , • REST API, Webhook에 대한 이해 또는 사용경험, • SW code Static Analysis 솔루션 구축 경험, • EFK stack 구축 경험, • zabbix 등 APM 구축 경험",https://www.wanted.co.kr/wd/202156
7,로지스팟,"서초구 사임당로 174, 13층(서초동,강남미래타워) 로지스팟",소프트웨어 엔지니어,"4년대졸자및ComputerScience관련전공자•10년이상프로덕트리더십역할경험•뛰어난성과를내는팀,획기적인제품을만들고자하는확고한의지소유자•고객문제해결에대한열정과이를위해고객과관계형성한업적•고객의요구와시장동향을분석및해석한경험•빠르게변화하는환경에서여러프로젝트와그우선순위를동시에관리하는능력•검증된변화촉진자이자강력한전략적사고역량보유자•KPI및성공지표를사용한Data, driven의사결정역량",10,"• 공급망, 물류산업 경험 및 이해도, • SaaS 및 플랫폼 서비스 경험",https://www.wanted.co.kr/wd/205962
8,이큐브랩 (Ecube Labs),"서울특별시 구로구 디지털로 300, A동 13층",소프트웨어 엔지니어," 만5년이상의유관경력(Backendengineer,Infraengineer)또는이에준하는지식보유, AWS/GCP/Azure등클라우드컴퓨팅환경에서서비스운영및관리경험3년이상보유, Terraform/AWSCDK와같은IaC를이용한인프라관리경험3년이상보유, Kubernetes클러스터구축및운영경험3년이상보유, 컨테이너기반의서비스운영경험3년이상보유, AWSCertifiedSolutionArchitect—Associate또는이에준하는자격보유, Prometheus,Datadog,ELK등의서비스로로깅및모니터링경험보유",5,"- On-premise 환경에서의 서비스 관리 경험 보유, - OpenStack 과 같은 IaaS를 이용한 Private/Public Cloud 구축 및 운영 경험 보유, - Multi Cloud 운영 경험 보유, - AD/LDAP 와 같은 Directory Service를 이용한 중앙 인증 시스템 운영 경험 보유, - Vault 와 같은 Multi Cloud 통합 인증 시스템 관리 경험 보유, - Kafka 와 같은 메시지 브로커 운영 경험 보유",https://www.wanted.co.kr/wd/115294
9,세이프에이아이,"강남구 영동대로 324, 804호",소프트웨어 엔지니어,"새로운기술과최신트렌드를공부하는것을즐기시는분•원활한커뮤니케이션으로협업에적극적으로참여하실수있는분•DataStructure,OOP,Algorithm등ComputerScience에대한기초지식을보유하신분•Express,Spring,Django등의프레임워크를활용한서버개발경험이있으신분•Mysql,MongoDB등을활용한데이터베이스설계및관리경험이있으신분•Docker사용경험이있으신분•Git을통한협업이가능하신분",3,"• AWS, Azure 등과 같은 Public Cloud 서비스 구축 경험이 있으신 분, • 머신러닝 및 AI 모델 개발 및 연동 경험이 있으신 분, • JavaScript, React 등 활용한 웹UI, App 개발 경험이 있으신 분, • 코드 개선 및 코드 리뷰에 적극 참여하시는 분, • DevOps, MLOps 구현 경험이 있으신 분, • 아래의 SAFE AI 개발 환경에 익숙하신 분",https://www.wanted.co.kr/wd/202161
