,기업명,업종분류,사원수,설립연도,매출액
0,젭,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2년 (2022년 설립),-원
0,서커스컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,11년 (2013년 설립),"22억2,380만원"
0,블로코,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,9년 (2015년 설립),"22억1,128만원"
0,피매치,자연과학 및 공학 융합 연구개발업,,3년 (2021년 설립),-원
0,만나플래닛,시스템ㆍ응용 소프트웨어 개발 및 공급업,,8년 (2016년 설립),"123억8,113만원"
0,미트박스글로벌,식료품 소매업,82명,10년 (2014년 설립),"317억4,225만원"
0,로지스팟,그 외 기타 운송관련 서비스업,169명,17년 (2007년 설립),280억836만원
0,이큐브랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,48명,13년 (2011년 설립),"16억3,146만원"
0,세이프에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,1년 (2023년 설립),-원
0,마크비전코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,117명,4년 (2020년 설립),-원
0,위시빈,그 외 기타 정보 서비스업,8명,6년 (2018년 설립),"1,545만원"
0,비에이치에스엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,46명,4년 (2020년 설립),-원
0,아이엠에스이,컴퓨터 프로그래밍 서비스업,9명,3년 (2021년 설립),-원
0,한국부동산데이터연구소,그 외 기타 정보 서비스업,,2년 (2022년 설립),-원
0,퀀텀유니버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,4년 (2020년 설립),"1억9,434만원"
0,드래프타입,시스템ㆍ응용 소프트웨어 개발 및 공급업,6명,1년 (2023년 설립),-원
0,미트박스글로벌,식료품 소매업,82명,10년 (2014년 설립),"317억4,225만원"
0,커리어데이,포털 및 기타 인터넷 정보 매개 서비스업,5명,3년 (2021년 설립),-원
0,마켓디자이너스,경영 컨설팅 및 공공 관계 서비스업,,7년 (2017년 설립),"105억3,971만원"
0,에타일렉트로닉스,공학 연구개발업,21명,4년 (2020년 설립),-원
0,프렉스코리아,"가전제품, 통신장비 및 부품 도매업",,5년 (2019년 설립),-원
0,체인앱시스,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,4년 (2020년 설립),-원
0,에너닷,기타 금융 지원 서비스업,,6년 (2018년 설립),"10억3,456만원"
0,아하앤컴퍼니,기술 및 직업 훈련학원,17명,9년 (2015년 설립),-원
0,어반데이터랩,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,25명,5년 (2019년 설립),-원
0,아하앤컴퍼니,기술 및 직업 훈련학원,17명,9년 (2015년 설립),-원
0,임플로이랩스,그 외 기타 정보 서비스업,4명,4년 (2020년 설립),-원
0,파이온코퍼레이션,광고 대행업,48명,5년 (2019년 설립),"5억6,910만원"
