,기업명,업종분류,사원수,설립연도,매출액
0,젭,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2022,
0,서커스컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,2013,"22억2,380만원"
0,블로코,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2015,"22억1,128만원"
0,피매치,자연과학 및 공학 융합 연구개발업,,2021,
0,만나플래닛,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2016,"123억8,113만원"
0,미트박스글로벌,식료품 소매업,82명,2014,"317억4,225만원"
0,로지스팟,그 외 기타 운송관련 서비스업,169명,2007,280억836만원
0,이큐브랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,48명,2011,"16억3,146만원"
0,세이프에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,2023,
0,마크비전코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,117명,2020,
0,위시빈,그 외 기타 정보 서비스업,8명,2018,"1,545만원"
0,비에이치에스엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,46명,2020,
0,아이엠에스이,컴퓨터 프로그래밍 서비스업,9명,2021,
0,한국부동산데이터연구소,그 외 기타 정보 서비스업,,2022,
0,퀀텀유니버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,2020,"1억9,434만원"
0,드래프타입,시스템ㆍ응용 소프트웨어 개발 및 공급업,6명,2023,
0,커리어데이,포털 및 기타 인터넷 정보 매개 서비스업,5명,2021,
0,마켓디자이너스,경영 컨설팅 및 공공 관계 서비스업,,2017,"105억3,971만원"
0,에타일렉트로닉스,공학 연구개발업,21명,2020,
0,프렉스코리아,"가전제품, 통신장비 및 부품 도매업",,2019,
0,체인앱시스,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,2020,
0,에너닷,기타 금융 지원 서비스업,,2018,"10억3,456만원"
0,아하앤컴퍼니,기술 및 직업 훈련학원,17명,2015,
0,어반데이터랩,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,25명,2019,
0,임플로이랩스,그 외 기타 정보 서비스업,4명,2020,
0,파이온코퍼레이션,광고 대행업,48명,2019,"5억6,910만원"
0,네고시오,통신 판매업,5명,2021,
0,크래프트테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,72명,2016,23억770만원
0,하이,구조용 금속제품 제조업,,2001,
0,씨드로닉스,공학 연구개발업,29명,2016,7억294만원
0,와이즈버즈,광고 대행업,119명,2017,"122억6,207만원"
0,플루고코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,2022,
0,에스티씨랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,62명,2020,"77억6,748만원"
0,누비랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,64명,2019,19억957만원
0,한국모바일결제,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,2021,
0,브라운백,기타 식료품 제조업,19명,2015,
0,엠포스,방사선 장치 및 전기식 진단 기기 제조업,15명,2019,"30억1,927만원"
0,크리스틴컴퍼니,신발 제조업,37명,2020,"6억5,024만원"
0,브랜디,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2014,"1,261억9,314만원"
0,프라이데이즈랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2021,
0,헤세그,시스템ㆍ응용 소프트웨어 개발 및 공급업,23명,2020,
0,만나컴퍼니,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",,2021,
0,발란,통신 판매업,64명,2015,"521억7,961만원"
0,한국포인트거래소,시스템ㆍ응용 소프트웨어 개발 및 공급업,20명,2022,
0,케이스마텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,86명,2010,116억986만원
0,어니컴,시스템ㆍ응용 소프트웨어 개발 및 공급업,415명,1998,"229억6,540만원"
0,크로스이엔에프,시스템ㆍ응용 소프트웨어 개발 및 공급업,42명,2018,"17억7,256만원"
0,만나컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,29명,2020,
0,오늘의작업장,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,2023,
0,엔비티,"세제, 화장품 및 광택제 제조업",6명,2016,"14억5,461만원"
0,누리랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,27명,2015,"17억9,375만원"
0,에프랩앤컴퍼니,일반 교습학원,,2022,
0,엑스브레인,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2015,"3억4,636만원"
0,법틀,시스템ㆍ응용 소프트웨어 개발 및 공급업,22명,2017,"8억4,049만원"
0,약손명가헬스케어,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2021,
0,코넥티브,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,2022,
0,마이크로프로텍트,"컴퓨터 시스템 통합 자문, 구축 및 관리업",56명,2019,"9,272만원"
0,피에로컴퍼니,통신 판매업,,2021,
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,2020,"9,797만원"
0,더블유클럽,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2021,"10억5,181만원"
0,모라이,공학 연구개발업,132명,2018,"20억4,483만원"
0,소셜인프라테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,2019,"18억9,378만원"
0,벨루가브루어리,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,2018,"4억2,659만원"
0,데이오프컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,2022,
0,아이엠지베이스,게임 소프트웨어 개발 및 공급업,13명,2017,16억원
0,브이피피랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,16명,2021,
0,에임,,,2019,
0,젠다카디언,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,17명,2018,
0,라플라스테크놀로지스,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2020,600만원
0,인터엑스,시스템ㆍ응용 소프트웨어 개발 및 공급업,84명,2020,"37억8,791만원"
0,하이퍼커넥트,시스템ㆍ응용 소프트웨어 개발 및 공급업,336명,2014,"1,819억5,486만원"
0,파인더스에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2020,179만원
0,스펙터,그 외 기타 정보 서비스업,24명,2020,
0,에쓰오씨소프트,시스템ㆍ응용 소프트웨어 개발 및 공급업,,1995,"82억1,571만원"
0,니어브레인,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2022,
0,바리코퍼레이션,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2020,
0,구름,시스템ㆍ응용 소프트웨어 개발 및 공급업,123명,2013,"30억3,402만원"
0,디케이테크인,시스템ㆍ응용 소프트웨어 개발 및 공급업,655명,2015,"277억8,646만원"
0,휴런,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2019,"1,942만원"
0,지엔,통신 공사업,4명,2016,"5억3,930만원"
0,휴맥스모빌리티,컴퓨터 프로그래밍 서비스업,112명,2016,"11억1,412만원"
0,럭스소프트코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2019,"20억7,827만원"
0,아템드메라키,기타 금융 지원 서비스업,,2022,
0,라이프페스타,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,2020,3억10만원
0,알지티,산업용 로봇 제조업,,2018,"3억7,367만원"
0,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",2007,"1조8,283억7,378만원"
0,우리엔,시스템ㆍ응용 소프트웨어 개발 및 공급업,55명,2012,"87억5,251만원"
0,에이에프아이,포털 및 기타 인터넷 정보 매개 서비스업,23명,2017,"3억7,352만원"
0,블루닷,통신 판매업,,2020,"2억9,767만원"
0,와인루트,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2021,
0,무신사,사무 지원 서비스업,"1,561명",2012,"4,024억4,065만원"
0,오버더핸드,게임 소프트웨어 개발 및 공급업,14명,2022,
0,바텍,기타 특수 목적용 기계 제조업,10명,2011,"12억6,263만원"
0,디어유,시스템ㆍ응용 소프트웨어 개발 및 공급업,정보없음,2017,400억76만원
0,엘케이벤쳐스,"가방, 시계, 안경 및 기타 생활용품 도매업",,2018,
0,페어스퀘어랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,2018,
0,딥바이오,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,2016,"2억5,570만원"
0,쿠캣,시스템ㆍ응용 소프트웨어 개발 및 공급업,109명,2014,"434억5,290만원"
0,일루니,시스템ㆍ응용 소프트웨어 개발 및 공급업,16명,2018,"2억1,049만원"
0,메라키플레이스,시스템ㆍ응용 소프트웨어 개발 및 공급업,19명,2021,
0,리콘랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,41명,2019,"5,140만원"
0,다보링크,방송 및 무선 통신장비 제조업,61명,2019,
0,이노버스,통신 판매업,12명,2020,
0,코비그룹,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,2018,16억44만원
0,백금티앤에이,기타 기계 및 장비 도매업,59명,1996,"635억3,795만원"
0,가온브로드밴드,유선 통신장비 제조업,137명,2020,"2,145억3,070만원"
0,인포그랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,17명,2020,
0,휴먼아이씨티,시스템ㆍ응용 소프트웨어 개발 및 공급업,15명,2012,"73억8,334만원"
0,아이투맥스,시스템ㆍ응용 소프트웨어 개발 및 공급업,198명,2004,"196억4,567만원"
0,쉬모스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,2017,
0,브로즈,외국식 음식점업,,2020,
0,모요,시스템ㆍ응용 소프트웨어 개발 및 공급업,37명,2021,
0,토스플레이스,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",81명,2022,
0,룩코,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,2020,"2,700만원"
0,펄송,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2017,17억705만원
0,포스타입,시스템ㆍ응용 소프트웨어 개발 및 공급업,28명,2016,"25억2,614만원"
0,레벨스,기타 간이 음식점업,,2021,
0,버즈빌,광고 대행업,112명,2013,"596억7,272만원"
0,와들,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2019,
0,온블록,시스템ㆍ응용 소프트웨어 개발 및 공급업,6명,2022,
0,카카오스타일,시스템ㆍ응용 소프트웨어 개발 및 공급업,570명,2012,"652억2,341만원"
0,월급쟁이부자들,그 외 기타 교육기관,51명,2018,"239억9,000만원"
0,플레져,광고 대행업,10명,2018,"11억6,356만원"
0,얼리페이,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,2021,133만원
0,지엔에이컴퍼니,통신 판매업,9명,2017,"10억9,116만원"
0,피클플러스,컴퓨터 프로그래밍 서비스업,25명,2020,
0,스쿨버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,38명,2018,"7억1,240만원"
0,카레딧,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,2023,
0,알고케어,자연과학 연구개발업,,2019,
0,시지온,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2011,16억729만원
0,탈잉,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,2016,75억534만원
0,휴이노에임,기타 기계 및 장비 도매업,14명,2022,
0,로이드케이,자동차 신품 부품 및 내장품 판매업,31명,2012,
0,핏펫,시스템ㆍ응용 소프트웨어 개발 및 공급업,106명,2017,"223억4,887만원"
0,가우스랩스,"컴퓨터 시스템 통합 자문, 구축 및 관리업",42명,2020,
0,스트레스솔루션,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2022,
0,플라네타리움랩스코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,32명,2023,
0,옴니어스,포털 및 기타 인터넷 정보 매개 서비스업,25명,2015,"18억6,382만원"
0,제로엑스플로우,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,2018,
0,왓타임,시계 및 귀금속 소매업,,2021,
0,테이퍼랩스,포털 및 기타 인터넷 정보 매개 서비스업,5명,2021,
0,컬리,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,"2,633명",2014,"1조5,579억5,521만원"
0,스마일샤크,"컴퓨터 시스템 통합 자문, 구축 및 관리업",36명,2020,"23억5,386만원"
0,인스피언,시스템ㆍ응용 소프트웨어 개발 및 공급업,97명,2010,133억416만원
0,누트컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,2018,"9,137만원"
0,가이던스,광고 대행업,3명,2003,
0,바티에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,2023,
0,엠지알브이,부동산 관리업,81명,2018,"32억1,425만원"
0,앙트러리얼리티,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2021,
0,브레이브컴퍼니,통신 판매업,24명,2021,
0,레몬클라우드,그 외 기타 정보 서비스업,,2018,
0,비욘드메디슨,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,2022,
0,트웰브랩스,시스템ㆍ응용 소프트웨어 개발 및 공급업,30명,2020,
0,알타바그룹,게임 소프트웨어 개발 및 공급업,51명,2019,
0,스퀘어스,시스템ㆍ응용 소프트웨어 개발 및 공급업,28명,2021,
