,기업명,업종분류,사원수,설립연도,기업형태,매출액,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL,기업 홈페이지 URL
0,젭,데이터베이스 및 온라인정보 제공업,,2021.0,,,서울특별시 강남구,소프트웨어 엔지니어,"프로그래밍언어,열정,성실",3,"멀티,쓰레드,분할,서버,웹,웹소켓,소켓,클라우드,구축,메타버스,AWS",https://www.wanted.co.kr/wd/180861,
1,서커스컴퍼니,응용 소프트웨어 개발 및 공급업,20.0,2012.0,중소기업,170563.0,서울특별시 강남구,소프트웨어 엔지니어,"전공무관,Node,Net,Nginx,Apache,SystemDesign,MySQL,MariaDB,SQLServer,DBMS,Linux,AR,VR,MR,XR",0,"소프트웨어,객체지향,빌드,배포,자동화,프로젝트,서버,아키텍처,버전관리,AWS,EC,S,CF,Git",https://www.wanted.co.kr/wd/207284,www.circuscompany.com
2,블로코,응용 소프트웨어 개발 및 공급업,29.0,2014.0,중소기업,118214.0,경기도 성남시 분당구,소프트웨어 엔지니어,"개발경력2년,대용량데이터,데이터,Golang",2,"블록,블록체인,체인,트랙트,프레임워크,개발경험,암호화,전자서명,클라우드,spring,boot,nodejs,lua,Docker,AWS,ElasticSearch",https://www.wanted.co.kr/wd/206690,ww.blocko.io
3,피매치,자연과학 및 공학 융합 연구개발업,,2021.0,,5286.0,서울특별시 성북구,소프트웨어 엔지니어,"서비스개발,데이터,딥러닝프레임워크,AI,Python,Tensorflow,Pytorch",2,"헬스,헬스케어,자연어,모델,영문,논문,분석,LLM,Linux,Docker",https://www.wanted.co.kr/wd/186806,www.pmatch.co.kr
4,만나플래닛,응용 소프트웨어 개발 및 공급업,134.0,2016.0,중소기업,1419493.0,서울특별시 구로구,소프트웨어 엔지니어,JAVA,5,"협업,프레임워크,트렌드,Rest API,API,Git,redmine",https://www.wanted.co.kr/wd/206244,www.manna-planet.com
5,패스트레인,광고 대행업,,2016.0,,640363.0,서울특별시 강남구,소프트웨어 엔지니어,"이티브앱개발,싸이클경험,이티브앱프로젝트,프로젝트,최신트렌드,트렌드,대처,디버깅,디버깅스킬,협력,팀워크,최신기술,형상관리도구사용,관리,iOS,iOS,UnidirectionalDataflow,iOS",3,"아키텍,패턴,코드베이스,유닛,이슈관리,RESTful API,UI,UI,jira",https://www.wanted.co.kr/wd/179720,yeoshin.co.kr
6,미트박스글로벌,육류 도매업,69.0,2014.0,중소기업,5521702.0,서울특별시 강남구,소프트웨어 엔지니어,"배포경험,수행업무,오픈소스,CloudInfra,aws,gcp,azure,ncp,helmchart,argoCD,SW,troubleshooting,LinuxOS",2,"컨테이너,쿠버,티스,빌드,배포,구축,솔루션,CI,CD,REST API,Webhook,SW code Static Analysis,EFK stack,zabbix,APM",https://www.wanted.co.kr/wd/202156,www.meatbox.co.kr
7,로지스팟,일반 화물자동차 운송업,,2013.0,,,서울특별시 서초구,소프트웨어 엔지니어,"4년대졸자,관련전공자,10년이상프로덕트,리더십,리더십역할경험,성과,획기적,열정,관계형성,업적,동향,분석,해석,프로젝트,우선순위,동시,관리,검증,전략적,촉진자,전략적사고,사고,역량보유자,의사결정역량,ComputerScience,KPI,Data,driven",10,"공급망,물류산업,플랫폼,SaaS",https://www.wanted.co.kr/wd/205962,logi-spot.com
8,이큐브랩,그 외 기타 특수목적용 기계 제조업,62.0,2011.0,중소기업,187161.0,서울특별시 구로구,소프트웨어 엔지니어,"유관경력,지식보유,클라우드,서비스운영,관리,관리경험3년,인프라,인프라관리경험3,러스터구축,운영경험3년,컨테이너기반,서비스운영경험3,깅,모니터링경험보유,Backendengineer,Infraengineer,AWS,GCP,Azure,Terraform,AWSCDK,IaC,Kubernetes,AWSCertifiedSolutionArchitect,Associate,Prometheus,Datadog,ELK",5,"구축,메시지,브로커,On,premise,OpenStack,IaaS,Private,Public Cloud,Multi Cloud,AD,LDAP,Directory Service,Vault,Multi Cloud,Kafka",https://www.wanted.co.kr/wd/115294,www.ecubelabs.com
9,세이프에이아이,응용 소프트웨어 개발 및 공급업,,2023.0,,,서울특별시 강남구,소프트웨어 엔지니어,"공부,최신트렌드,트렌드,기초지식,서버개발경험,프레임워크,데이터베이스,데이터베이스설계,관리,관리경험,DataStructure,OOP,Algorithm,ComputerScience,Express,Spring,Django,Mysql,MongoDB,Docker,Git",3,"구축,머신러닝,모델,웹,AWS,Azure,Public Cloud,AI,JavaScript,React,UI,App,DevOps,MLOps,SAFE AI",https://www.wanted.co.kr/wd/202161,www.safeai.kr
