,기업명,기업형태,매출액,사원수,설립연도,업종분류
0,레몬베이스,중소기업,,,2020,응용 소프트웨어 개발 및 공급업
1,오토위니,대기업,224080000.0,4672.0,2000,응용 소프트웨어 개발 및 공급업
2,페이타랩,중소기업,50000.0,52.0,2018,시스템 소프트웨어 개발 및 공급업
3,한화비전,대기업,80410000.0,781.0,2018,방송장비 제조업
4,발란,중소기업,8910000.0,122.0,2015,전자상거래 소매 중개업
5,플라잉캣,중소기업,,18.0,2018,기타 통신 판매업
6,AB180,중소기업,2720000.0,,2015,응용 소프트웨어 개발 및 공급업
7,월급쟁이부자들,중소기업,1180000.0,,2018,기타 기술 및 직업 훈련학원
8,에잇퍼센트,중소기업,310000.0,55.0,2014,시스템 소프트웨어 개발 및 공급업
9,앤트,중견기업,1940000.0,103.0,1996,응용 소프트웨어 개발 및 공급업
10,포스페이스랩,중소기업,470000.0,9.0,2007,"도배, 실내 장식 및 내장 목공사업"
11,차봇모빌리티,중소기업,1960000.0,60.0,2016,시스템 소프트웨어 개발 및 공급업
12,뽀득,중소기업,310000.0,63.0,2017,그 외 기타 달리 분류되지 않은 제품 제조업
13,에디트콜렉티브,중소기업,,,2018,시스템 소프트웨어 개발 및 공급업
14,제이앤피메디,중소기업,,12.0,2020,응용 소프트웨어 개발 및 공급업
15,제이앤피메디,중소기업,,12.0,2020,응용 소프트웨어 개발 및 공급업
16,제이앤피메디,중소기업,,12.0,2020,응용 소프트웨어 개발 및 공급업
17,제이앤피메디,중소기업,,12.0,2020,응용 소프트웨어 개발 및 공급업
18,잉글리시에그,중소기업,1910000.0,67.0,2009,교과서 및 학습 서적 출판업
19,씨앤에이아이,중소기업,,36.0,2019,응용 소프트웨어 개발 및 공급업
20,에이에프아이,중소기업,470000.0,8.0,2020,농업 및 임업용 기계 제조업
21,티웨이브,중소기업,,,2016,시스템 소프트웨어 개발 및 공급업
22,와이오엘오,중소기업,,30.0,2017,전자상거래 소매 중개업
23,포스페이스랩,중소기업,470000.0,9.0,2007,"도배, 실내 장식 및 내장 목공사업"
24,아레나캐스트,중소기업,,32.0,2010,유선 온라인 게임 소프트웨어 개발 및 공급업
25,컨비니언스,중소기업,1480000.0,32.0,2013,컴퓨터 시스템 통합 자문 및 구축 서비스업
26,쿤텍,중소기업,820000.0,73.0,2016,시스템 소프트웨어 개발 및 공급업
27,쿤텍,중소기업,820000.0,73.0,2016,시스템 소프트웨어 개발 및 공급업
28,셀러허브,중소기업,,74.0,2012,전자상거래 소매 중개업
29,아이트럭,중소기업,,,2020,컴퓨터 시스템 통합 자문 및 구축 서비스업
30,팀블랙버드,중소기업,80000.0,,2018,응용 소프트웨어 개발 및 공급업
31,팀블랙버드,중소기업,80000.0,,2018,응용 소프트웨어 개발 및 공급업
