,기업명,기업규모,매출액,사원수,설립일,상세업종
0,빅웨이브로보틱스,중소기업,510000.0,32.0,2020,응용 소프트웨어 개발 및 공급업
1,패스트뷰,중소기업,1850000.0,100.0,2018,그 외 기타 정보 서비스업
2,효성에프엠에스,대기업,4380000.0,59.0,2007,시스템 소프트웨어 개발 및 공급업
3,와탭랩스,중소기업,620000.0,79.0,2015,응용 소프트웨어 개발 및 공급업
4,라텔앤드파트너즈,중소기업,330000.0,28.0,2020,광고 대행업
5,중고나라,중소기업,1010000.0,149.0,2013,응용 소프트웨어 개발 및 공급업
6,지냄,중소기업,830000.0,14.0,2014,포털 및 기타 인터넷 정보 매개 서비스업
7,위펀,중소기업,4680000.0,182.0,2018,응용 소프트웨어 개발 및 공급업
8,브리치,중소기업,1310000.0,26.0,2014,시스템 소프트웨어 개발 및 공급업
9,라텔앤드파트너즈,중소기업,330000.0,28.0,2020,광고 대행업
10,패스트뷰,중소기업,1850000.0,100.0,2018,그 외 기타 정보 서비스업
11,라이프시맨틱스,중소기업,460000.0,53.0,2012,응용 소프트웨어 개발 및 공급업
12,오비맥주,중견기업,100000000.0,1933.0,1998,맥아 및 맥주 제조업
13,올림플래닛,중소기업,860000.0,58.0,2015,응용 소프트웨어 개발 및 공급업
14,라텔앤드파트너즈,중소기업,330000.0,28.0,2020,광고 대행업
15,브랜디,중소기업,11720000.0,397.0,2014,상품 종합 중개업
16,바이브존,중소기업,3460000.0,238.0,2000,응용 소프트웨어 개발 및 공급업
17,와탭랩스,중소기업,620000.0,79.0,2015,응용 소프트웨어 개발 및 공급업
18,디랙스,중소기업,6510000.0,187.0,2001,"체조, 육상 및 체력 단련용 장비 제조업"
19,빅웨이브로보틱스,중소기업,510000.0,32.0,2020,응용 소프트웨어 개발 및 공급업
20,씨드앤,중소기업,,9.0,2015,시스템 소프트웨어 개발 및 공급업
21,스팬딧,중소기업,,,2015,응용 소프트웨어 개발 및 공급업
22,스팬딧,중소기업,,,2015,응용 소프트웨어 개발 및 공급업
23,써머스플랫폼,중소기업,3410000.0,211.0,1999,응용 소프트웨어 개발 및 공급업
24,지나인,중소기업,1060000.0,40.0,2018,그 외 기타 분류 안된 사업 지원 서비스업
25,문토,중소기업,,,2003,토목 시설물 건설업
26,데브게이트,중소기업,,3.0,2023,솔루션·SI·CRM·ERP
27,데브게이트,중소기업,,3.0,2023,솔루션·SI·CRM·ERP
28,미스터카멜,중견기업,0.0,10.0,2018,응용 소프트웨어 개발 및 공급업
29,디에스랩글로벌,중소기업,,11.0,2018,응용 소프트웨어 개발 및 공급업
