기관명,훈련과정명,훈련시작일자,훈련종료일자,총훈련기간,총훈련시간,취업률
연희직업전문학교(주),"자바, 파이썬을 활용한 AWS 클라우드 인공지능 실무과정",2024-02-26,2024-07-26,104일,총826시간,82.4 %
코드랩아카데미학원,AI 인공지능컨택센터(AICC) 웹서비스개발,2024-02-26,2024-08-27,125일,총1000시간,취업률(해당없음)
더조은컴퓨터아카데미,자바(JAVA) 웹개발(백앤드)&앱개발자(클라우드활용) 취업캠프,2024-02-26,2024-09-09,135일,총1080시간,74.2 %
코드랩아카데미학원,[데이터자격시험]빅데이터 분석 준전문가자격증(ADsP),2024-02-26,2024-04-15,20일,총60시간,44.4 %
아이티윌,개발자를 위한 AWS DevOps 입문(CI/CD 무중단 배포),2024-02-26,2024-03-24,28일,총31시간,취업률(해당없음)
코드랩아카데미학원,(산대특)_AI플랫폼 활용 이커머스 웹서비스 개발_육성,2024-02-26,2024-07-22,100일,총800시간,취업률(해당없음)
인천구월그린컴퓨터아트학원,"(산대특)_Java(자바)기반 백엔드(AWS, Spring) 웹코딩 개발자 양성과정",2024-02-26,2024-07-24,100일,총500시간,취업률(해당없음)
코드랩아카데미학원,클라우드 활용 O2O 서비스 플랫폼 웹&앱 개발,2024-02-26,2024-07-31,108일,총860시간,76.2 %
더조은컴퓨터아카데미,의료영상 AI API연동 프로젝트 기반 자바(java)풀스택 개발자 과정,2024-02-26,2024-09-09,135일,총1080시간,74.2 %
코드랩아카데미학원,빅데이터 시각화 웹서비스 프론트엔드 개발_B,2024-02-26,2024-07-22,100일,총850시간,76.2 %
코드랩아카데미학원,빅데이터 시각화 웹서비스 프론트엔드 개발_A,2024-02-26,2024-07-22,100일,총850시간,76.2 %
부산더조은직업전문학교,(디지털컨버전스)가상화 솔루션(Docker)과 클라우드(AWS) 서비스 기반 웹&앱 개발자 양성과정 A,2024-02-26,2024-08-07,113일,총900시간,취업률(해당없음)
이젠아카데미 DX교육센터,자바(JAVA) 풀스택(프론트엔드&백엔드) 개발자 A,2024-02-26,2024-07-26,105일,총900시간,75.1 %
이젠아카데미DX교육센터,Full stack(풀스택)개발자 with react&node.js_B,2024-02-26,2024-07-26,105일,총900시간,76.9 %
이젠아카데미 DX교육센터,클라우드기반 자바 백엔드개발(웹프로그래머) B,2024-02-26,2024-07-25,105일,총900시간,75.1 %
코드랩아카데미학원,자바(Java) 프로그래밍 입문,2024-02-27,2024-04-09,13일,총39시간,취업률(해당없음)
코드랩아카데미학원,파이썬(python)과 빅데이터 분석 입문_A,2024-02-27,2024-04-09,13일,총39시간,44.4 %
노원 그린컴퓨터아카데미,WebGL(3D API)을 활용한 Motion UI 프론트엔드 웹앱개발자 양성과정,2024-02-27,2024-09-13,136일,총1088시간,58.6 %
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,2024-02-27,2024-08-20,120일,총960시간,80 %
이젠아카데미DX교육센터,비전공자를 위한 자바 프로그래밍 챌린지,2024-02-27,2024-03-26,23일,총23시간,취업률(해당없음)
이젠아카데미DX교육센터,"큐레이팅 웹서비스 풀스택 개발(소비자 선호,스타일 분석)",2024-02-27,2024-08-01,108일,총860시간,76.9 %
한국ICT인재개발원,데이터처리 기반 자바 풀스택 개발자 과정,2024-02-27,2024-08-20,120일,총960시간,85.8 %
이젠아카데미 DX교육센터,데이터 융합 자바(JAVA) 풀스택 개발자 C,2024-02-27,2024-07-26,105일,총900시간,75.1 %
이젠아카데미DX교육센터,Full stack(풀스택)개발자 with react&node.js_A,2024-02-27,2024-07-29,105일,총900시간,76.9 %
이젠아카데미DX교육센터,"지능형 웹서비스 풀스택(프론트엔드,백엔드) 개발_B",2024-02-27,2024-08-19,119일,총1035시간,76.9 %
이젠아카데미컴퓨터학원,"자바기반 빅데이터 웹 플랫폼 풀스택 개발자(프론트엔드, 백엔드)",2024-02-27,2024-07-30,106일,총900시간,58 %
코드랩아카데미학원,케라스 활용 머신러닝 빅데이터 분석_B,2024-02-28,2024-04-22,22일,총64시간,44.4 %
코드랩아카데미학원,"파이썬 빅데이터 분석(수집,전처리,시각화,웹크롤링,판다스)",2024-02-28,2024-04-22,22일,총64시간,44.4 %
아이티윌,AWS 리눅스 기반 클라우드 데브옵스 기초 실무 과정,2024-02-28,2024-03-26,28일,총31시간,취업률(해당없음)
윤성컴퓨터디자인DX아카데미,AWS 활용 자바 풀스택 개발자 양성,2024-02-28,2024-08-29,125일,총1000시간,취업률(해당없음)
