,기업명,설립연도,매출액,사원수,업종분류,기업형태,주소,기업 홈페이지 URL
0,오토위니,2014.0,3275486.0,64.0,쇼핑몰·전자상거래·오픈마켓,,서울특별시 강남구,www.autowini.com
1,페이타랩,2018.0,,,소프트웨어·솔루션·ASP,,서울특별시 강남구,www.notion.so/paytalab/571a848957334f7bbc4e4260c0b6763c
2,로보코리아,2016.0,,3.0,교육·연구및개발,,,
3,한화비전,2018.0,80408711.0,895.0,전기·전자·반도체,,경기도 성남시 분당구,www.hanwha-security.com
4,발란,2020.0,,1.0,쇼핑몰·전자상거래·오픈마켓,,,
5,로보코리아,2016.0,,3.0,교육·연구및개발,,,
6,월급쟁이부자들,2018.0,2399393.0,,교육기관,,서울특별시 강남구,cafe.naver.com/wecando7
7,앤트,,,7.0,사무지원·콜센터·텔레마케팅,,,
8,유케이미디어,2020.0,62389.0,3.0,제품·시각디자인,,,
9,카비,2009.0,1000000.0,100.0,도매·상품중개,,경기도 성남시 수정구,carbee.co.kr/
10,뽀득,2017.0,,250.0,제조업기타,,서울특별시 강남구,-
11,코넥시오에이치,2020.0,7431.0,15.0,소프트웨어·솔루션·ASP,,광주광역시 동구,www.connexioh.net
12,잉글리시에그,2012.0,,5.0,학원·학습지,,서울특별시 강서구,englishegg.co.kr
13,씨앤에이아이,2019.0,155512.0,45.0,소프트웨어·솔루션·ASP,,대전광역시 유성구,www.cnai.ai
14,에이에프아이,2017.0,67717.0,15.0,인터넷·포털·컨텐츠·게임,,서울특별시 성동구,www.afidev.com
15,티웨이브,2016.0,207100.0,21.0,도매·상품중개,,서울특별시 서초구,www.iminfintech.co.kr
16,와이오엘오,2017.0,239792.0,39.0,인터넷·포털·컨텐츠·게임,,서울특별시 마포구,www.yeogoo.com
17,아레나캐스트,2010.0,987716.0,26.0,소프트웨어·솔루션·ASP,,서울특별시 강남구,www.arenacast.io
18,컨비니언스,2013.0,1479362.0,20.0,도매·상품중개,,서울특별시 마포구,www.cvkorea.co.kr
19,쿤텍,2016.0,823250.0,83.0,소프트웨어·솔루션·ASP,,경기도 성남시 수정구,coontec.kr
20,쿤텍,2016.0,823250.0,83.0,소프트웨어·솔루션·ASP,,경기도 성남시 수정구,coontec.kr
21,누벤트,2014.0,19745.0,14.0,모바일·무선,,서울특별시 강남구,www.shareat.me
22,아이트럭,2018.0,510000.0,1.0,물류,,,
23,델레오코리아,2015.0,127189.0,80.0,소프트웨어·솔루션·ASP,,,
