,기업명,설립연도,매출액,사원수,업종분류,기업형태,주소,기업 홈페이지 URL
0,사이벨헬스,2023,1170000.0,90,소프트웨어·솔루션·ASP,중소기업,서울특별시 동대문구,www.sibelhealth.com
1,패스트뷰,2021,,4,생활용품·화장품,중소기업,,
2,브레이브모바일,2014,3138118.0,119,쇼핑몰·전자상거래·오픈마켓,중소기업,서울특별시 서초구,www.soomgo.com
3,효성에프엠에스,2005,,12,사업시설관리·일반,중소기업,서울특별시 송파구,www.hscms.co.kr
4,와탭랩스,2015,621141.0,85,소프트웨어·솔루션·ASP,중소기업,서울특별시 서초구,www.whatap.io
5,라텔앤드파트너즈,2020,332945.0,36,방송·광고·영상·오디오,중소기업,,
6,21세기전파상,2019,25520.0,3,도매·상품중개,중소기업,,
7,중고나라,2013,1010994.0,149,소프트웨어·솔루션·ASP,중소기업,서울특별시 서초구,web.joongna.com
8,피나클FINAKLE,2020,7000.0,7,소프트웨어·솔루션·ASP,중소기업,,
9,라텔앤드파트너즈,2020,332945.0,36,방송·광고·영상·오디오,중소기업,,
10,패스트뷰,2021,,4,생활용품·화장품,중소기업,,
11,라이프시맨틱스,2012,281892.0,68,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,lifesemantics.kr
12,오비맥주,1998,156007020.0,2011,음·식료품·식품가공,중견기업,서울특별시 강남구,www.ob.co.kr
13,올림플래닛,2015,1094648.0,70,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.olimplanet.com/
14,라텔앤드파트너즈,2020,332945.0,36,방송·광고·영상·오디오,중소기업,,
15,브랜디,2017,35981.0,20,소프트웨어·솔루션·ASP,중소기업,서울특별시 마포구,www.jober.io
16,바이브존,2020,30027.0,12,소프트웨어·솔루션·ASP,중소기업,,
17,하이프로토콜,2003,1098497.0,93,전기·전자·반도체,중소기업,서울특별시 강남구,www.ranix.co.kr
18,21세기전파상,2019,25520.0,3,도매·상품중개,중소기업,,
19,와탭랩스,2015,621141.0,85,소프트웨어·솔루션·ASP,중소기업,서울특별시 서초구,www.whatap.io
20,디랙스,2001,6509875.0,187,제조업기타,중소기업,경기도 안양시 만안구,www.draxfit.com
21,씨드앤,2015,40000.0,24,소프트웨어·솔루션·ASP,중소기업,서울특별시 성동구,www.seedn.co.kr
22,21세기전파상,2019,25520.0,3,도매·상품중개,중소기업,,
23,인텔렉투스,2020,8118.0,5,연구개발업,중소기업,서울특별시 강남구,www.intellectuscorp.com
24,21세기전파상,2019,25520.0,3,도매·상품중개,중소기업,,
25,코코네M,2021,944972.0,190,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 강남구,cocone-m.com/
26,써머스플랫폼,1999,3411932.0,203,인터넷·포털·컨텐츠·게임,중견기업,서울특별시 금천구,www.summerce.com/
27,피나클FINAKLE,2020,7000.0,7,소프트웨어·솔루션·ASP,중소기업,,
28,디에스랩글로벌,2020,64095.0,22,소프트웨어·솔루션·ASP,중소기업,서울특별시 영등포구,clickai.ai
29,리본솔루션,1999,170463.0,8,인쇄·기록매체복제업,중소기업,경기도 안양시 동안구,www.elabelmart.com
