기업명,직무
중고나라,데브옵스 엔지니어
빅웨이브로보틱스,백엔드 개발자
지냄,백엔드 개발자
효성에프엠에스,백엔드 개발자
바이브존,미디어 서버 개발자
라텔앤드파트너즈,데이터 베이스 관리자
인프랩, 백엔드 개발자
엔블리스컴즈,백엔드/서버 개발자
브레이브모바일,  SRE
패스트뷰,백엔드 개발자
디랙스,AWS 소프트웨어 개발자
리본솔루션,백엔드 개발자
인텔렉투스,백엔드 엔지니어
레인포컴퍼니,프론트엔드 개발자
다이노즈, 백엔드 개발자
씨드앤,데브옵스 엔지니어
사이벨헬스, 사이벨헬스 클라우드/백엔드 엔지니어
데브게이트,Problem Solver
문토,백엔드 개발자
피클플러스,백엔드 엔지니어
스팬딧,시니어 백엔드 개발자
원더베리,데브옵스 엔지니어
올림플래닛,BE개발자
미스터카멜,데브옵스 엔지니어
하이프로토콜, 크로스체인 프로토콜 백엔드 시니어 개발자
21세기전파상,총괄 개발자
라텔앤드파트너즈,Java 백엔드 개발자
브랜디,데브옵스 엔지니어
그로잉랩,백엔드 시니어 개발자
유한회사일루미나리안,백엔드 개발자
테이퍼랩스,백엔드 엔지니어
패스트뷰,데브옵스 엔지니어
코코네M,  SRE엔지니어
픽소,백엔드 엔지니어
레인포컴퍼니,백엔드 개발자
21세기전파상,시니어 개발자
스플랩,백엔드 개발자
와탭랩스,솔루션 엔지니어/IT 성능 컨설턴트
위펀,백엔드 엔지니어
넵튠클라우드,백엔드 개발자
브리치, 백엔드/서버 개발자
빅웨이브로보틱스,프론트엔드 개발자
스팬딧,백엔드 개발자
럽맘,백엔드 개발자
데브게이트,소프트웨어 엔지니어
인프랩,데이터 분석가
피나클FINAKLE,백엔드 개발자
바티AI,자동화 노코드 툴 JAVA 백엔드 개발자
와탭랩스,데브옵스 엔지니어
라텔앤드파트너즈,데이터 베이스 관리자
유니유니, 리드 개발자
써머스플랫폼, 스윗트래커CIC_인프라 담당자
지나인,백엔드 개발자
오비맥주,Data Sr. Engineer
픽소,백엔드 엔지니어
바텍,데브옵스 개발자
피클플러스,웹 프론트엔드 엔지니어
21세기전파상,백엔드 개발자
이너웨이브,백엔드 개발자
피나클FINAKLE,백엔드 개발자
21세기전파상,프론트엔드 개발자
런치팩, 프론트엔드 개발자
디에스랩글로벌,백엔드 개발자
스테이지랩스,백엔드 개발자
런치팩, 프론트엔드 개발자
라이프시맨틱스,데브옵스 엔지니어
