,기업명,주소,업종분류,설립연도
0,오비맥주,"서울특별시 강남구 영동대로 517 (삼성동, ASEM및한국종합무역센타단지) 8층",맥아 및 맥주 제조업,1998-05-02
0,사이벨 헬스 (주),"서울특별시 강남구 영동대로 517 (삼성동, ASEM및한국종합무역센타단지) 8층",맥아 및 맥주 제조업,1998-05-02
0,주식회사 피클플러스,경상남도 창원시 성산구 남면로 599 (외동),자동차 및 트레일러 제조업,1989-04-14
0,주식회사 바텍,"서울특별시 강남구 테헤란로 415 (삼성동, L7HOTELS강남타워) 5층",소프트웨어 개발 및 공급업,2014-12-09
0,패스트뷰,"서울특별시 강남구 강남대로 364 (역삼동, 미왕빌딩) 12층",그 외 기타 정보 서비스업,2018-04-27
0,씨드앤,서울특별시 강남구 테헤란로39길 68 (역삼동) 3층,"서적, 잡지 및 기타 인쇄물 도매업",2019-11-27
0,중고나라,"서울특별시 서초구 서초대로 301 7층(서초동, 동익성봉빌딩)",응용 소프트웨어 개발 및 공급업,2014-01-02
0,런치팩 주식회사,"서울특별시 서초구 서초대로 301 7층(서초동, 동익성봉빌딩)",응용 소프트웨어 개발 및 공급업,2014-01-02
0,지나인,"서울특별시 강서구 공항대로 200 (마곡동, 마곡지웰타워) 501~512호",방송 프로그램 제작업,2009-09-09
0,주식회사 피클플러스,경상남도 창원시 성산구 남면로 599 (외동),자동차 및 트레일러 제조업,1989-04-14
0,런치팩 주식회사,충청남도 아산시 영인면 월선길 20-42,자연공원 운영업,2021-05-20
0,문토,"경상남도 창원시 마산합포구 용마로 42 (산호동, 성우유니빌아파트) 201호",콘크리트 및 철근 공사업,2003-03-06
0,효성에프엠에스,"서울특별시 강남구 광평로 281 (수서동, 수서빌딩) 18층",시스템 소프트웨어 개발 및 공급업,2007-06-11
0,패스트뷰,"서울특별시 강남구 강남대로 364 (역삼동, 미왕빌딩) 12층",그 외 기타 정보 서비스업,2018-04-27
0,코코네 M,경기도 안성시 원곡면 지문로 459-25 (성은리),부직포 및 펠트 제조업,2003-03-04
0,피나클 FINAKLE,경기도 안성시 원곡면 지문로 459-25 (성은리),부직포 및 펠트 제조업,2003-03-04
0,라이프시맨틱스,서울특별시 강남구 언주로 533,응용 소프트웨어 개발 및 공급업,2012-09-26
