,기업명,기업형태,매출액,사원수,업종분류,설립연도
0,오비맥주,중견기업,"1조 5,601억 (2022.12)","3,618억 (2022.12)","2,423억 (2022.12)",1998년 05월 02일
0,와탭랩스,중소기업,62억 (2022.12),79명 (2023.04),응용 소프트웨어 개발 및 공급업,2015년 07월 01일
0,스팬딧,중소기업,-,-명,응용 소프트웨어 개발 및 공급업,2015년 12월 23일
0,패스트뷰,중소기업,185억 (2022.12),100명 (2022.08),그 외 기타 정보 서비스업,2018년 04월 24일
0,(주)위펀,중소기업,468억 (2022.12),182명 (2022.12),응용 소프트웨어 개발 및 공급업,2018년 12월 13일
0,빅웨이브로보틱스(주),중소기업,51억 (2022.12),32명 (2023.03),응용 소프트웨어 개발 및 공급업,2020년 09월 29일
0,스팬딧,중소기업,-,-명,응용 소프트웨어 개발 및 공급업,2015년 12월 23일
0,브랜디,중소기업,"1,172억 (2022.12)",397명 (2022.12),상품 종합 중개업,2014년 12월 12일
0,씨드앤,중소기업,-,9명 (2022.03),시스템 소프트웨어 개발 및 공급업,2015년 05월 21일
0,(주)라텔앤드파트너즈,중소기업,33억 (2021.12),2억 (2021.12),2억 (2021.12),2020년 07월 09일
0,중고나라,중소기업,101억 (2022.12),-95억 (2022.12),-93억 (2022.12),2013년 12월 27일
0,지나인,중소기업,106억 (2022.12),40명 (2022.05),그 외 기타 분류 안된 사업 지원 서비스업,2018년 04월 20일
0,(주)브리치,중소기업,131억 (2021.12),26명 (2017.10),시스템 소프트웨어 개발 및 공급업,2014년 10월 14일
0,(주)라텔앤드파트너즈,중소기업,33억 (2021.12),2억 (2021.12),2억 (2021.12),2020년 07월 09일
0,빅웨이브로보틱스(주),중소기업,51억 (2022.12),32명 (2023.03),응용 소프트웨어 개발 및 공급업,2020년 09월 29일
0,(주)라텔앤드파트너즈,중소기업,33억 (2021.12),2억 (2021.12),2억 (2021.12),2020년 07월 09일
0,(주)지냄,중소기업,83억 (2022.12),14명 (2022.12),포털 및 기타 인터넷 정보 매개 서비스업,2014년 07월 10일
0,문토,중소기업,-,양호 (2019.02),-명,2003년 03월 06일
0,와탭랩스,중소기업,62억 (2022.12),79명 (2023.04),응용 소프트웨어 개발 및 공급업,2015년 07월 01일
0,(주)올림플래닛,중소기업,86억 (2021.12),22억 (2021.12),-19억 (2021.12),2015년 01월 20일
0,효성에프엠에스,대기업,438억 (2022.12),67억 (2022.12),53억 (2022.12),2007년 06월 11일
0,(주)써머스플랫폼,중소기업,"연결 재무제표 : 398억
별도 재무제표 : 341억","연결 재무제표 : 74억
별도 재무제표 : 70억","연결 재무제표 : 66억
별도 재무제표 : 65억",1999년 10월 15일
0,패스트뷰,중소기업,185억 (2022.12),100명 (2022.08),그 외 기타 정보 서비스업,2018년 04월 24일
0,(주) 미스터카멜,중견기업,0만원 (2022.12),-,-87만원 (2022.12),2018년 01월 12일
0,라이프시맨틱스,중소기업,46억 (2021.12),-60억 (2021.12),-62억 (2021.12),2012년 09월 26일
0,(주)디랙스,중소기업,651억 (2022.12),59억 (2022.12),43억 (2022.12),2001년 08월 18일
0,(주)디에스랩글로벌,중소기업,-,양호 (2020.11),11명 (2022.01),2018년 12월 17일
