제목,알고리즘 스코어,알고리즘 지수,조회수 ,댓글 수,좋아요 수,게시일
AWS의 최신 생성AI서비스 Bedrock 소개와 무료 강의,44,보통,"11,380",16,326,2024-01-07
"와.. 이 좋은 걸 여태 몰랐네..AWS""전액 무료"" AI활용 온라인 강의!!",57,높음,2110,4,79,2024-02-09
[AWS] AWS VPC 상세히 알아보기 - 이론강의,94,매우 높음,"6,660",16,175,2021-09-13
개발자를 위한 AWS DevOps 입문 강의 출시되었습니다.,77,매우 높음,1179,18,18,2022-06-14
클라우드는 직접 해봐야 압니다. AWS 전문가에게 배울 수 있는 절호의 기회를 소개합니다. (feat. AWS Builders Korea),45,보통,"1,683",8,33,2023-08-23
비용이 0원에 가까운 백엔드 아키텍쳐(with.AWS Bulders Korea Program),62,높음,1535,11,51,2023-08-25
"무료 AWS기초, 자격증준비 필수교육 오픈",53,높음,"6,791",18,123,2023-05-31
AWS와 함께 엔지니어의 세계관 확장-AWS 11개 자격증을 취귿한 정태환,59,높음,1223,8,35,2024-01-24
클라우드 경력 개발을 위한 AWS 자격증 취득 노하우,70,매우 높음,"1,414",3,40,2023-03-06
AI서비스 제작의 기반이 되는 클라우드 '무료'로 배워보세요!(ft.AWSomeday),19,낮음,8659,10,168,2023-11-04
신입 대기업 입사 첫날(feat.코알누가 당신의 시니어라면?),76,매우 높음,"11,423",29,106,2023-08-22
