"시점",이용률,클라우드 서비스 이용 목적,클라우드 서비스 이용 목적,클라우드 서비스 이용 목적,클라우드 서비스 이용 목적,클라우드 서비스 이용 목적,클라우드 서비스 이용 목적,클라우드 서비스 이용 목적,개인용 이용자,개인용 이용자,개인용 이용자,개인용 이용자,개인용 이용자,업무용 이용자,업무용 이용자,업무용 이용자,업무용 이용자,업무용 이용자
"시점",소계,자료 및 정보 획득,멀티미디어 콘텐츠재생,문서편집,기기에 저장된 일정/연락처 등 동기화 및 관리,원격교육,화상회의,기타,자료 및 정보 저장,문서편집,멀티미디어 콘텐츠재생,기타,컴퓨터 스마트폰등 이용기기간 동기화,자료 및 정보 저장,문서편집,멀티미디어 콘텐츠 재생,기타,컴퓨터 스마트폰등 이용기기간 동기화
"2013",14.9,-,-,-,-,-,-,-,65.0,25.8,38.2,1.8,-,63.9,44.4,21.9,4.3,-
"2014",13.7,-,-,-,-,-,-,-,59.5,25.2,19.1,7.3,-,57.5,44.4,17.2,5.8,-
"2015",22.7,-,-,-,-,-,-,-,65.2,26.6,46.6,-,23.6,40.5,24.8,10.9,-,12.1
"2016",25.4,-,-,-,-,-,-,-,70.9,19.6,47.1,4.9,35.3,57.8,35.7,22.4,33.3,25.7
"2017",31.2,-,-,-,-,-,-,-,75.1,20.9,55.4,0.4,42.1,65.0,35.9,16.7,29.4,16.6
"2018",32.0,-,-,-,-,-,-,-,76.0,19.6,48.1,0.4,40.5,58.8,32.6,15.5,35.5,18.7
"2019",34.8,-,-,-,-,-,-,-,56.8,13.2,49.4,-,43.6,65.5,27.5,13.8,32.9,15.3
"2020",42.8,57.7,62.4,31.4,38.7,19.5,20.2,-,-,-,-,-,-,-,-,-,-,-
"2021",44.3,81.0,48.6,46.2,36.1,30.9,22.1,-,-,-,-,-,-,-,-,-,-,-
"2022",47.4,79.8,46.4,44.7,30.7,24.3,19.2,0.0,-,-,-,-,-,-,-,-,-,-
