기업명,설립연도,매출액,사원수,업종분류,기업형태,주소,기업 홈페이지 URL
오토위니,2014년 3월 12일,"327억 5,486만원 (2022)",64 명 재직중,쇼핑몰·전자상거래·오픈마켓,,"서울특별시 강남구 남부순환로 2645 3층 (도곡동,한독빌딩)지도보기",//www.autowini.com
페이타랩,2018년 2월 28일,-,-,소프트웨어·솔루션·ASP,,"서울특별시 강남구 영동대로85길 34 6층, 페이타랩지도보기",//www.notion.so/paytalab/571a848957334f7bbc4e4260c0b6763c
로보코리아,2016년 8월 31일,-,3 명 재직중,교육·연구및개발,,,
한화비전,2018년 4월 2일,"8,040억 8,711만원 (2022)",895 명 재직중,전기·전자·반도체,,경기도 성남시 분당구 판교로319번길 6 한화테크윈(삼평동)지도보기,//www.hanwha-security.com
발란,2020년 11월 19일,-,1 명 재직중,쇼핑몰·전자상거래·오픈마켓,,,
로보코리아,2016년 8월 31일,-,3 명 재직중,교육·연구및개발,,,
월급쟁이부자들,2018년 3월 27일,"239억 9,393만원 (2022)",-,교육기관,,서울특별시 강남구 역삼1동 834-8번지 2층지도보기,//cafe.naver.com/wecando7
앤트,-,-,7 명 재직중,사무지원·콜센터·텔레마케팅,,,
유케이미디어,2020년 9월 1일,"6억 2,389만원 (2021)",3 명 재직중,제품·시각디자인,,,
카비,2009년 8월 28일,100억원,100 명 재직중,도매·상품중개,,경기 성남시 수정구 복정동 652-10지도보기,//carbee.co.kr/
뽀득,2017년 8월 8일,-,250 명 재직중,제조업기타,,서울특별시 강남구 테헤란로87길 33 (삼성동)지도보기,//-
코넥시오에이치,2020년 3월 25일,"7,431만원 (2022)",15 명 재직중,소프트웨어·솔루션·ASP,,광주광역시 동구 금남로 193-22 광주AI창업캠프 1호 202호(금남로4가)지도보기,//www.connexioh.net
잉글리시에그,2012년 10월 1일,-,5 명 재직중,학원·학습지,,"서울 강서구 강서로56길 17 8층 (등촌동,NC강서점)지도보기",//englishegg.co.kr
씨앤에이아이,2019년 10월 21일,"15억 5,512만원 (2022)",45 명 재직중,소프트웨어·솔루션·ASP,,"대전광역시 유성구 대덕대로 582 402호 (도룡동,옥토빌딩)지도보기",//www.cnai.ai
에이에프아이,2017년 9월 22일,"6억 7,717만원 (2022)",15 명 재직중,인터넷·포털·컨텐츠·게임,,서울특별시 성동구 아차산로 110 성수동2가 성광빌딩 4층 AFI지도보기,//www.afidev.com
티웨이브,2016년 2월 22일,"20억 7,100만원 (2022)",21 명 재직중,도매·상품중개,,서울특별시 서초구 방배3동 479-4번지지도보기,//www.iminfintech.co.kr
와이오엘오,2017년 3월 14일,"23억 9,792만원 (2022)",39 명 재직중,인터넷·포털·컨텐츠·게임,,서울특별시 마포구 월드컵로10길 5-6 (서교동)지도보기,//www.yeogoo.com
아레나캐스트,2010년 10월 7일,"98억 7,716만원 (2022)",26 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 강남구 영동대로 701 (청담동,W TOWER) 11층지도보기",//www.arenacast.io
컨비니언스,2013년 9월 26일,"147억 9,362만원 (2022)",20 명 재직중,도매·상품중개,,서울특별시 마포구 양화로7길 83 데이비드빌딩 2층 (서교동)지도보기,//www.cvkorea.co.kr
쿤텍,2016년 1월 22일,"82억 3,250만원 (2022)",83 명 재직중,소프트웨어·솔루션·ASP,,"경기도 성남시 수정구 창업로 54 LH기업성장센터 232호(시흥동,판교제2테크노밸리)지도보기",//coontec.kr
쿤텍,2016년 1월 22일,"82억 3,250만원 (2022)",83 명 재직중,소프트웨어·솔루션·ASP,,"경기도 성남시 수정구 창업로 54 LH기업성장센터 232호(시흥동,판교제2테크노밸리)지도보기",//coontec.kr
누벤트,2014년 10월 10일,"1억 9,745만원 (2022)",14 명 재직중,모바일·무선,,"서울특별시 강남구 역삼로63길 19 4층 (대치동,우희빌딩)지도보기",//www.shareat.me
아이트럭,2018년 7월 5일,51억원 (2021),1 명 재직중,물류,,,
델레오코리아,2015년 9월 23일,"12억 7,189만원 (2021)",80 명 재직중,소프트웨어·솔루션·ASP,,,
