기업명,사원수,주소,직무,이용하는 기술스택,자격요건,직급,우대사항,해당 페이지 URL,기업 홈페이지 URL
AB180,101 명,"대한민국 서울특별시 서초구 강남대로61길 17, 강남대로61길 17",데브옵스,"Go
Python
Apache Druid
AWS DynamoDB
AWS EC2","최소 5년 이상의 DevOps 업무 경험
하나 이상의 개발 언어로 개발 혹은 자동화를 수행해본 경험
대용량 트래픽 서비스 시스템 개발 및 운영 경험
IaC(Infrastructure as Code) 및 지속적 통합과 배포 자동화 구축 경험",5 ~ 10년,"AdTech 관련 도메인 경험
더 적은 비용으로 시스템을 운영하기 위한 비용 관리 경험
클라우드 서비스 위에서의 트러블 슈팅 및 성능 분석 경험
퍼포먼스 테스트 및 성능 부하 테스트에 대한 경험
자동화된 DR(Disaster Recovery)를 통한 고가용성 확보 경험
기본적인 Web Application(Backend)의 구조를 이해하고 개발해본 경험
Kubernetes 환경 CI/CD 파이프라인 구축 및 운영 경험",https://career.programmers.co.kr/job_positions/11945,https://www.ab180.co/
레몬베이스,63 명,"서울 성동구 아차산로 68, (성수동2가) 11층, 12층 레몬베이스",데이터 엔지니어링,"AWS IAM
AWS VPC
AWS EC2
Terraform
Docker
MariaDB
PostgreSQL","데이터 엔지니어 경력 2년 이상 혹은 그에 준하는 이해도가 있는 분
Spark 및 기타 빅데이터 프레임워크 사용 경험이 있는 분
데이터마트에 대한 니즈를 발굴하고, 이를 해소하는 파이프라인 및 마트를 구축한 경험이 있으신 분
작더라도 실제 운영 중인 서비스의 데이터 인프라 및 운영의 A-Z 경험 및 설계를 해보신 분",2 ~ 6년,"AWS, GCP 등 클라우드 환경에서 데이터 인프라 설계 및 운용
MLOps 운영 경험이 있으신 분
개선되고 성장하는 레몬베이스의 프로덕트 및 서비스에 맞추어 확장 가능한 데이터 아키텍처 구성 경험이 있으신 분
고객들을 대상으로 하는 데이터 제품 및 플랫폼 운영 경험이 있으신 분
구성원의 데이터 리터러시를 올리기 위한 활동 경험이 있으신 분",https://career.programmers.co.kr/job_positions/18904,https://lemonbase.com
오토위니,55 명,"서울 강남구 남부순환로 2645, 3층 (도곡동, 한독빌딩)",서버/백엔드,"Java
Spring
Spring Boot
Oracle
MySQL
Redis
AWS EC2
AWS S3
AWS Redshift","Java, Spring Framework 기반 개발 경력 5년 이상
주도적으로 백엔드 아키텍쳐를 설계해본 경험이 있으신 분
AWS 등 클라우드 환경에서 서비스 개발/운영 경험
유저가 겪는 문제점을 찾고 기술로 해결하는데 관심 있으신 분",5 ~ 15년,"Jira, Confluence 등 협업툴 사용에 익숙하신 분
아키텍처 변경에 따른 마이그레이션 경험이 있으신 분
꾸준한 학습과 내가 아는 것을 공유하는 것을 좋아하시는 분",https://career.programmers.co.kr/job_positions/8952,https://www.autowini.com/
페이타랩,68 명,"서울 강남구 영동대로85길 34, (대치동) 6층","서버/백엔드, 웹 풀스택, 데이터 엔지니어링","Python
Flask
Git
Jenkins
uWSGI
Nginx
Docker
AWS EC2
AWS S3
AWS RDS
JavaScript
Java
Spring
SQL","【페이타랩 프로덕트팀】
프로덕트팀은 패스오더 유저와 점주님을 연결하며 고객지향적인 프로덕트를 만드는 팀이에요.  프로덕트의 성장을 위해 각 팀에서 실현하고자 하는 수많은 아이디어와 프로젝트를 유기적인 의사소통을 통해 흡수하고 구현해내고, 이를 위해 불필요하고 복잡한 업무 프로세스를 지양하며 실행 중심의 효율적인 업무 문화를 갖고 있어요.
“개발의 마지막 관문”이라는 마음가짐으로 안정적이면서도 혁신을 일으킬 수 있는 프로덕트를 개발하기 위해 수단과 방법을 가리지 않고 학습하고 실행하는 팀이에요. 엔지니어, 프로덕트 오너, 프로덕트 디자이너, 데브옵스 등 프로덕트를 실현하는 과정 자체에서 즐거움을 느끼는 사람들이 모여있으며 그 이상으로 비즈니스 임팩트가 가장 중요하다는 점에 공감하는 사람들이 모여있어요.

【오시면 이런 업무를 하게 되실 거예요!】

패스오더 서비스와 함께 성장하기 위해 필요한 기능 개발 및 성능 최적화 업무를 수행해요.
클라우드, 컨테이너 기반으로 마이크로 서비스를 구성하고 기능을 추가해요.
기존 시스템의 아키텍처와 코드를 개선하고 확장성 있는 시스템을 만들어요.
실제 사용자들의 요구사항을 분석하고 이를 해결하기 위한 서비스를 설계하고 구현해요.
【개발환경】

• 사용언어: Python, Java, Kotlin
• 개발환경 및 도구: inteliJ, Flask, Spring, Git, Jenkins, Docker, AWS, Kubernetes, PostgreSQL

【이런 분을 찾고 있어요!】

Python, Kotlin, Java 중 하나 이상의 언어를 활용하여 개발한 경험이 있으신 분
주어진 문제에 대해 여러가지 솔루션을 고민하고 최선의 선택을 하실 수 있는 분
팀원들과 원활한 커뮤니케이션을 위해 고민하고, 자기 자신을 발전시킨 경험이 있으신 분
단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분",3 ~ 10년,"【이런 분이면 더 좋아요!】

MSA를 이해하고 개발 및 설계를 경험해 보신 분
서비스의 도메인을 이해하고, 도메인 주도 설계 경험이 있으신 분
팀과 함께 성장하며 지식을 공유하는 문화를 지향하시는 분
요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분",https://career.programmers.co.kr/job_positions/7304,https://recruit.passorder.co.kr/
로보코리아,33 명,"서울 강남구 테헤란로25길 7, (역삼동)",QA,"JIRA
TypeScript
NestJS
Node.js
PyTorch
Flask
FastAPI
Terraform
AWS CloudWatch
MongoDB
Redis
Datadog
AWS Simple Queue Service(AWS SQS)
AWS Lambda
AWS EC2","3~5년의 웹 서비스 QA 경험을 갖추었거나 그에 준하는 역량을 보유하신 분
소프트웨어 품질 관리 프로세스에 대한 경험과 이해를 갖추신 분
반복적인 테스트 활동에서 높은 집중력과 끈기 있는 성격을 가지신 분
기획, 디자인, 개발 조직에 대한 이해가 높고 새로운 기술에 대한 관심과 학습 능력이 높으신 분
서비스 품질에 대한 책임감과 개선에 대한 의지가 있으신 분",3 ~ 5년,"단순 테스트 외에 제품 사용성이나 업무 프로세스 개선에 관심이 많고 agile 기반의 개발 프로세스를 이해하고 수행할 수 있는 분
테스팅 자동화 도구에 대한 이해 및 자동화 QA에 대한 경험을 보유하신 분
React 및 Node.js 환경에서의 E2E 테스트 개발 경험을 보유하신 분
ISTQB나 CSTS 등 SW 테스팅 관련 자격증을 보유하신 분",https://career.programmers.co.kr/job_positions/24156,https://www.lovo.ai
한화비전,791 명,경기도 성남시 분당구 판교로319번길 6 (삼평동),"서버/백엔드, 웹 풀스택, 데브옵스","Kubernetes
AWS EC2
Azure
GCP(Google Cloud Platform)
AWS EKS
Terraform","Cloud 인프라 (AWS, Azure) 사용 및 SRE 경험이 3년 이상 10년 이하이신 분
EC2 기반의 AWS 서비스 운영 경험이 있으신 분
Kubernetes(EKS, AKS) 구성에 대해 익숙하신 분
GitHub Action 및 ArgoCD 사용 경험이 있으신 분
IaC (Terraform)의 숙련된 스킬을 보유하신 분

※아래 자료 중 한 가지 이상을 포트폴리오로 필수 제출 요청드립니다 ※
K8s helm, Terraform, Bicep, CDK, AWS | Azure Architecture Diagram
Cloud 관련 본인 기술 블로그 | 노션 | 홈페이지 |  Youtube
Site Reliability Engineering과 관련한 자신의 스킬/경력을 나타낼 수 있는 모든 기술 자료 가능",3 ~ 10년,"(우대) 모니터 로깅 솔루에 대한 이해도가 있으신 분(ELK, Loki, Grafana, Prometheus)
(우대) Shell Script, Powershell 스크립트에 대한 이해도가 높으신  분
(우대) 자동화 스크립트에 대한 이해도가 높으신 분
(우대) 관련 오픈 소스 Contribution 을 경험한 분",https://career.programmers.co.kr/job_positions/24602,https://hanwhavision.ninehire.site
디플래닉스,25 명,"서울 서초구 강남대로 465, 강남 교보타워 B동 4층",데이터 엔지니어링,"GCP(Google Cloud Platform)
Azure
AWS Glue
AWS EC2
AWS S3
AWS Athena
AWS Lambda
AWS Redshift
AWS EMR
Python
SQL
Scala
Java","4년 이상의 데이터 엔지니어링 실무 경력이 있는 분
클라우드 서비스(AWS, GCP, Azure 등) 활용 경험이 있는 분
           ※ AWS 의 경우 Glue, MWAA, EC2, S3, Athena, Lambda, Redshift, EMR 등
Python, SQL, Scala, Java 중 한 가지 이상의 언어로 개발이 가능한 분
데이터 분석가와 원활한 소통을 위한 쿼리 작성이 가능한 분
새로운 기술에 대한 관심과 호기심이 많은 분",4 ~ 6년,"클라우드 플랫폼을 활용해 데이터 설계, 구축, 운영 업무를 수행한 분
대용량 데이터 처리에 대한 설계 또는 구축 경험이 있는 분
Apache Spark 프로젝트와 결과물에 대한 경험 혹은 관심이 있는 분
클라우드 관련 혹은 기타 IT 자격증을 보유한 분",https://career.programmers.co.kr/job_positions/26024,https://www.dplanex.com/
발란,66 명,"대한민국 서울특별시 강남구 테헤란로 217, 10층","서버/백엔드, 웹 풀스택","Node.js
MySQL
MariaDB
MongoDB
TypeScript
NestJS
REST API
AWS CloudFront
AWS EC2
AWS RDS
AWS S3
PostgreSQL
Tableau
Apache Kafka","5년 이상의 백엔드 개발 경험이 있는 분
Node.js를 활용한 서비스 개발 및 운영 경험이 있는 분
컴퓨터공학 전공 혹은 그에 준하는 전공 및 지식을 보유하신 분
E-Commerce 서비스에 대한 운영 및 개발 경험이 있는 분
최신 E-Commerce의 Architecture에 관심과 지식이 있는 분
대규모 트래픽 핸들링 경험이 있는 분
AWS, GCP, Kubernetes 등 Cloud 환경에서의 서비스 설계 및 구축, 운영 경험이 있는 분",3 ~ 15년,"Typescript 사용 경험 혹은 이해도가 있는 분
컴퓨터 공학 전공자로 자료구조, 네트워크, 운영체제, 알고리즘에 대한 이해가 있는 분
E-Commerce 서비스에 대한 운영 및 개발 경험이 있는 분
모바일 웹뷰 기반 서비스 운영 경험이 있으신 분
백엔드 Unit/Integration/E2E 테스트 코드 작성 경험이 있으신 분
CI/CD 환경 구축 or 운영 경험이 있으신 분
MSA 설계 및 개발 경험이 있는 분
Source Management System과 Branch Strategy 에 대한 이해가 깊으신 분
OAS(OpenAPI Specification) 기반의 개발 경험이 있으신 분
3년 이상 파트 리딩에 대한 경험이 있는 분",https://career.programmers.co.kr/job_positions/19776,http://balaanofficial.com
헬스피디아,9 명,다산로104,서버/백엔드,"Python
Django
Java
AWS EC2
MySQL
PostgreSQL
REST API
DRF(Django REST framework)","• 웹에 대한 전반적인 지식, 웹 통신의 흐름, 인프라에 대한 이해
• 제품, 서비스 운영 기업 근무경력 만 5년 이상
• DB설계, 서비스 개발/배포/운영/고도화 경험 보유",5 ~ 15년,"• 컴퓨터공학과 등 관련 전공하신 분
• 제품, 서비스 공급 기업에서  서비스 런칭, 운영, 고도화 업무 수행 경험  보유하신 분
• 의료, 헬스케어, 보험 관련 프로젝트 수행 경험하신 분
• 성장을 지향하며 도전적인 분
• GA4 등 구글 애널러틱스를 활용한 로깅 협업 경험
• SDK 설치 또는 개발 경험
• Firebase 활용 역량: 앱 푸시 등 앱 연동 기능 개발 경험",https://career.programmers.co.kr/job_positions/24668,https://afzima.com
로보코리아,33 명,"서울 강남구 테헤란로25길 7, (역삼동)",서버/백엔드,"AWS CodeDeploy
AWS CodeStar
AWS CodeBuild
AWS CodePipeline
AWS SageMaker
Datadog
AWS API Gateway
AWS Simple Queue Service(AWS SQS)
AWS Simple Notification Service(AWS SNS)
AWS S3
AWS Lambda
AWS ECS
AWS EC2
AWS CloudFront
NestJS
NoSQL
TypeScript
Node.js
MongoDB","새로운 기술 및 트렌드에 대해 끊임없이 관심을 갖고 이를 활용 하시는 분
하나의 온전한 서비스의 아키텍처 설계 부터 인프라, 개발, 배포, 운영까지 경험해보신 분
AWS 혹은 기타 클라우드 환경을 활용한 인프라 관리 경험이 있으신 분
Datadog, Grafana, Prometheus 등의 서비스를 통한 모니터링 경험이 있으신 분
애자일, 스크럼, 칸반 등의 개발 프로세스 경험이 있으신 분",3 ~ 8년,"TypeScript 기반의 NestJS 프로젝트 개발 및 고도화 경험이 있으신 분
MLOps 파이프라인 개발 경험이 있으신 분
Terraform 등의 IaC를 활용한 클라우드 인프라 관리 경험이 있으신 분
MSA 형태의 개발 경험이 있으신 분
TDD(Test Driven Development)방식을 실무에 적용해 보신 분

[LOVO 팀으로 합류하는 과정]
- 서류 접수 - 직무 인터뷰 - 문화 적합성 인터뷰 - 최종 합격
- 정규직 채용의 경우 3개월의 수습기간이 있습니다.
[이런 분을 선호합니다.]
- 솔직하신 분!
- 항상 자기계발에 진심이신 분!
- 본인 업무에 애착이 있고 잘해야만 하는 분!
- 놀 땐 놀고 일할 땐 일할 줄 아시는 분!
- 효율성과 프로세스를 고민하고 또 고민하시는 분!
- 자신의 성장을 위해 노력하시는 분!
- 매사에 주도적이고, 책임감이 강하신 분!",https://career.programmers.co.kr/job_positions/22921,https://www.lovo.ai
