기업명,설립연도,매출액,사원수,업종분류,기업형태,주소,기업 홈페이지 URL
사이벨 헬스 (주),2023년 3월 13일,117억원 (2022),90 명 재직중,소프트웨어·솔루션·ASP,,서울특별시 동대문구 회기로 117-3 (회기동) 서울바이오허브 산업지원동 403호지도보기,//www.sibelhealth.com
패스트뷰,2021년 8월 11일,-,4 명 재직중,생활용품·화장품,,,
브레이브모바일 (숨고),2014년 12월 9일,"313억 8,118만원 (2022)",119 명 재직중,쇼핑몰·전자상거래·오픈마켓,,서울특별시 서초구 신반포로45길 18 주일빌딩 1층지도보기,//www.soomgo.com
효성에프엠에스,2005년 11월 21일,-,12 명 재직중,사업시설관리·일반,,"서울특별시 송파구 법원로11길 7 1519호 (문정동,현대지식산업센터)지도보기",//www.hscms.co.kr
와탭랩스,2015년 7월 1일,"62억 1,141만원 (2022)",85 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 서초구 서초대로77길 17 13층 1303호 (서초동,BLOCK77)지도보기",//www.whatap.io
(주)라텔앤드파트너즈,2020년 7월 9일,"33억 2,945만원 (2021)",36 명 재직중,방송·광고·영상·오디오,,,
21세기전파상,2019년 12월 5일,"2억 5,520만원 (2022)",3 명 재직중,도매·상품중개,,,
중고나라,2013년 12월 27일,101억 994만원 (2022),149 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 서초구 서초대로 301 (서초동,동익성봉빌딩)7층지도보기",//web.joongna.com
피나클 FINAKLE,2020년 12월 23일,"7,000만원 (2022)",7 명 재직중,소프트웨어·솔루션·ASP,,,
(주)라텔앤드파트너즈,2020년 7월 9일,"33억 2,945만원 (2021)",36 명 재직중,방송·광고·영상·오디오,,,
패스트뷰,2021년 8월 11일,-,4 명 재직중,생활용품·화장품,,,
라이프시맨틱스,2012년 9월 26일,"28억 1,892만원 (2022)",68 명 재직중,소프트웨어·솔루션·ASP,,서울특별시 강남구 언주로 533 (역삼동) 라이프시맨틱스빌딩지도보기,//lifesemantics.kr
오비맥주,1998년 5월 4일,"1조 5,600억 7,020만원 (2022)","2,011 명 재직중",음·식료품·식품가공,,"서울특별시 강남구 영동대로 517 8층 (삼성동,아셈타워)지도보기",//www.ob.co.kr
(주)올림플래닛,2015년 1월 13일,"109억 4,648만원 (2022)",70 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 강남구 봉은사로 524 201호, 301호 (삼성동,코엑스인터콘티넨탈서울)지도보기",//www.olimplanet.com/
(주)라텔앤드파트너즈,2020년 7월 9일,"33억 2,945만원 (2021)",36 명 재직중,방송·광고·영상·오디오,,,
브랜디,2017년 7월 18일,"3억 5,981만원 (2022)",20 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 마포구 마포대로 122 17F층 자버 (공덕동,프론트원)지도보기",//www.jober.io
바이브존,2020년 11월 24일,3억 27만원 (2023),12 명 재직중,소프트웨어·솔루션·ASP,,,
하이프로토콜,2003년 9월 26일,"109억 8,497만원 (2022)",93 명 재직중,전기·전자·반도체,,"서울특별시 강남구 언주로135길 25 (논현동,라닉스빌딩)지도보기",//www.ranix.co.kr
21세기전파상,2019년 12월 5일,"2억 5,520만원 (2022)",3 명 재직중,도매·상품중개,,,
와탭랩스,2015년 7월 1일,"62억 1,141만원 (2022)",85 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 서초구 서초대로77길 17 13층 1303호 (서초동,BLOCK77)지도보기",//www.whatap.io
(주)디랙스,2001년 8월 18일,"650억 9,875만원 (2022)",187 명 재직중,제조업기타,,경기도 안양시 만안구 전파로62번길 26 (안양동)지도보기,//www.draxfit.com
씨드앤,2015년 5월 21일,4억원 (2023),24 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 성동구 왕십리로 115 (성수동1가) 헤이그라운드 서울숲점 605,606,607호지도보기",//www.seedn.co.kr
21세기전파상,2019년 12월 5일,"2억 5,520만원 (2022)",3 명 재직중,도매·상품중개,,,
인텔렉투스,2020년 9월 9일,"8,118만원 (2020)",5 명 재직중,연구개발업,,서울특별시 강남구 봉은사로26길 14 (역삼동)4층 인텔렉투스지도보기,//www.intellectuscorp.com
21세기전파상,2019년 12월 5일,"2억 5,520만원 (2022)",3 명 재직중,도매·상품중개,,,
코코네 M,2021년 12월 2일,"94억 4,972만원 (2022)",190 명 재직중,인터넷·포털·컨텐츠·게임,,서울특별시 강남구 학동로9길 19 코코네M 사옥지도보기,//cocone-m.com/
(주)써머스플랫폼,1999년 10월 15일,"341억 1,932만원 (2022)",203 명 재직중,인터넷·포털·컨텐츠·게임,,"서울특별시 금천구 가산디지털1로 186 (가산동,제이플라츠) 13층 (주)써머스플랫폼지도보기",//www.summerce.com/
피나클 FINAKLE,2020년 12월 23일,"7,000만원 (2022)",7 명 재직중,소프트웨어·솔루션·ASP,,,
(주)디에스랩글로벌,2020년 1월 13일,"6억 4,095만원 (2022)",22 명 재직중,소프트웨어·솔루션·ASP,,"서울특별시 영등포구 의사당대로 83 5층 103호 (여의도동,오투타워)지도보기",//clickai.ai
리본솔루션,1999년 12월 18일,17억 463만원 (2012),8 명 재직중,인쇄·기록매체복제업,,경기도 안양시 동안구 흥안대로 61-1 지층 (호계동)지도보기,//www.elabelmart.com
