,기업명,업종분류,사원수,설립연도,매출액
0,레몬베이스,시스템ㆍ응용 소프트웨어 개발 및 공급업,,4년 (2020년 설립),-원
0,오토위니,상품 중개업,55명,10년 (2014년 설립),"729억5,454만원"
0,페이타랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,66명,6년 (2018년 설립),-원
0,로보코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,33명,7년 (2017년 설립),6억882만원
0,한화비전,방송 및 무선 통신장비 제조업,879명,6년 (2018년 설립),-원
0,디플래닉스,그 외 기타 정보 서비스업,27명,2년 (2022년 설립),-원
0,발란,통신 판매업,64명,9년 (2015년 설립),"521억7,961만원"
0,헬스피디아,그 외 기타 정보 서비스업,5명,3년 (2021년 설립),-원
0,로보코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,33명,7년 (2017년 설립),6억882만원
0,플라잉캣,통신 판매업,3명,6년 (2018년 설립),"5,361만원"
0,월급쟁이부자들,그 외 기타 교육기관,51명,6년 (2018년 설립),"239억9,000만원"
0,에잇퍼센트,시장 조사 및 여론 조사업,56명,9년 (2015년 설립),14억730만원
0,앤트,자동차 신품 부품 및 내장품 판매업,3명,9년 (2015년 설립),"21억3,342만원"
0,포스페이스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,19명,5년 (2019년 설립),510만원
0,유케이미디어,시스템ㆍ응용 소프트웨어 개발 및 공급업,,3년 (2021년 설립),-원
0,링키스,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,2년 (2022년 설립),-원
0,차봇모빌리티,시스템ㆍ응용 소프트웨어 개발 및 공급업,77명,7년 (2017년 설립),"103억6,481만원"
0,카비,기타 전자 부품 제조업,22명,14년 (2010년 설립),"5,932만원"
0,뽀득,통신 판매업,190명,7년 (2017년 설립),"31억4,756만원"
0,리걸테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,27명,9년 (2015년 설립),-원
0,코넥시오에이치,시스템ㆍ응용 소프트웨어 개발 및 공급업,21명,3년 (2021년 설립),-원
0,에디트콜렉티브,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,6년 (2018년 설립),842만원
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,잉글리시에그,서적 및 문구용품 소매업,62명,15년 (2009년 설립),"185억7,483만원"
0,씨앤에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,10명,5년 (2019년 설립),"12억2,573만원"
0,인그래디언트,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,4년 (2020년 설립),"2억5,621만원"
0,에이에프아이,포털 및 기타 인터넷 정보 매개 서비스업,23명,7년 (2017년 설립),"3억7,352만원"
0,티웨이브,시스템ㆍ응용 소프트웨어 개발 및 공급업,,8년 (2016년 설립),"12억3,860만원"
0,와이오엘오,상품 중개업,40명,7년 (2017년 설립),"10억2,037만원"
0,포스페이스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,19명,5년 (2019년 설립),510만원
0,아레나캐스트,시스템ㆍ응용 소프트웨어 개발 및 공급업,,12년 (2012년 설립),"96억3,821만원"
0,컨비니언스,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,11년 (2013년 설립),"105억2,327만원"
0,쿤텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,79명,8년 (2016년 설립),"69억1,431만원"
0,쿤텍,시스템ㆍ응용 소프트웨어 개발 및 공급업,79명,8년 (2016년 설립),"69억1,431만원"
0,누벤트,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,15명,10년 (2014년 설립),"1억2,310만원"
0,셀러허브,통신 판매업,50명,12년 (2012년 설립),120억313만원
0,아이트럭,포털 및 기타 인터넷 정보 매개 서비스업,18명,4년 (2020년 설립),-원
0,컨워스,그 외 기타 정보 서비스업,9명,4년 (2020년 설립),-원
0,팀블랙버드,시스템ㆍ응용 소프트웨어 개발 및 공급업,22명,6년 (2018년 설립),"15억8,941만원"
0,팀블랙버드,시스템ㆍ응용 소프트웨어 개발 및 공급업,22명,6년 (2018년 설립),"15억8,941만원"
0,델레오코리아,상품 중개업,46명,8년 (2016년 설립),"16억9,280만원"
0,옵틱라이프,"가방, 시계, 안경 및 기타 생활용품 도매업",4명,6년 (2018년 설립),-원
